dgp_label,source_dir,scenario,model,n_seeds,mse_full_mean,mse_drop_mean,improve_pct_mean,rmse_full_mean,mas_mean,mas_std,mas_median,mas_sig_10,mas_sig_05,mas_sig_01
dgp2_persistent_noise,revision\simulations\outputs\sim1_master_out\persistent_rho099_rolling20,persistent_rho099_rolling20,enet,25,1.3228811979144472,1.2285987380405097,7.030884796148424,1.1493554995209727,0.20213002079634548,0.14425874301047106,0.1809477416280577,0.0,0.0,0.0
dgp2_persistent_noise,revision\simulations\outputs\sim1_master_out\persistent_rho099_rolling20,persistent_rho099_rolling20,ols,25,1.4524088789873661,1.2823184638596479,11.647120198499174,1.2044985721709163,0.07042337720252184,0.049967662071607646,0.07555590239547637,0.0,0.0,0.0
dgp2_persistent_noise,revision\simulations\outputs\sim1_master_out\persistent_rho099_rolling20,persistent_rho099_rolling20,rf,25,1.4389957183865159,1.407113584914656,2.205779317696878,1.1990454611188204,0.5365197517887093,0.2310426592851451,0.3795313653087342,0.16,0.12,0.0
