scenario,model,n_seeds,mse_full_mean,mse_drop_mean,improve_pct_mean,rmse_full_mean,mas_mean,mas_std,mas_median,mas_sig_10,mas_sig_05,mas_sig_01
break_b15_expanding,enet,25,2.3076806045015172,1.0930160308578576,52.141758569679084,1.516723424750076,-0.3136441136786733,0.331804719934856,-0.22611993861274596,0.0,0.0,0.0
break_b15_expanding,ols,25,2.4061356270633487,1.0957186410050908,53.93128892840484,1.5481385439695332,-0.31602311065240485,0.37698562857713497,-0.22476741954373505,0.0,0.0,0.0
break_b15_expanding,rf,25,2.331334633821776,1.274544908773937,44.769228588995304,1.5236954580094038,-0.35563496882726303,0.40652789340785794,-0.2949902072223223,0.0,0.0,0.0
