,true_effect,GPBSV_RMSE,TS_Shapley_VI,APE,absAPE,OOB_MSE_increase,rank_GPBSV_best,rank_TS_Shapley_VI,rank_absAPE,rank_OOB,GPBSV_share_of_RMSE,TS_Shapley_VI_share
x1,interaction (x1*x2),-0.24413353580396832,0.33497550618502153,-0.14998837412331142,0.546841463075543,2.106416016954161,1,1,1,1,-0.14624713508180853,0.2910912245189663
x2,interaction (x1*x2),-0.22574528490452817,0.25868247591662097,0.05562523707172932,0.5153717489594146,1.9111219172970355,2,3,2,2,-0.13523173318565945,0.2247931484117995
x4,irrelevant,-0.020967165837490295,0.12615004418502926,0.12118169839890096,0.19846682904154342,0.017493665093491147,3,4,4,5,-0.012560289697275916,0.10962345054166191
x5,irrelevant,-0.00707114016809165,0.07777576660400064,-0.09452575311633706,0.16770904231209602,0.037065653281956885,4,5,5,4,-0.00423593582888866,0.06758656295948666
x3,linear,0.002625639868905605,0.27978784976169124,0.3914351816991116,0.4291590662795671,0.3618423805191783,5,2,3,3,0.0015728781681692186,0.24313356137649758
x6,irrelevant,0.006422420569489902,0.07338618846495594,-0.03703859789629294,0.1215266368541511,-0.01834868750975999,6,6,6,6,0.00384732316879469,0.06377205219071887
