model,RMSE_total,MAS,MAS_p_value,"Spearman(TSShapleyVI, absAPE)","Spearman(TSShapleyVI, APE)","Spearman(TSShapleyVI, OOB)"
ols,2.0424937068038274,0.3552366821430474,0.283861,1.0,0.4285714285714286,
rf,1.669321834354275,0.6094493694435368,0.111245,0.942857142857143,0.028571428571428574,0.8857142857142858
