,ols_APE,ols_absAPE,ols_OOB_MSE_increase,rf_APE,rf_absAPE,rf_OOB_MSE_increase
x1,-0.32927503997992447,0.32927503997992447,,-0.14998837412331142,0.546841463075543,2.106416016954161
x2,-0.013381561640704167,0.11020697979955019,,0.05562523707172932,0.5153717489594146,1.9111219172970355
x3,0.5183343410176555,0.5183343410176555,,0.3914351816991116,0.4291590662795671,0.3618423805191783
x4,0.1706857476863327,0.1706857476863327,,0.12118169839890096,0.19846682904154342,0.017493665093491147
x5,-0.10260805840405707,0.10260805840405707,,-0.09452575311633706,0.16770904231209602,0.037065653281956885
x6,0.11738794178963893,0.11738794178963893,,-0.03703859789629294,0.1215266368541511,-0.01834868750975999
