,ols,rf
x1,0.006420519773447641,-0.24413353580396832
x2,0.03199737832782759,-0.22574528490452817
x3,-0.0834851803746704,0.002625639868905605
x4,-0.04846358254082216,-0.020967165837490295
x5,0.00500526364895384,-0.00707114016809165
x6,-0.025022965593361184,0.006422420569489902
