,,base_contribution,x1,x2,x3,x4,x5,x6
ols,2000-07-19,-0.11000694331907443,-0.018381929602917343,0.07876556888716334,-0.013234608878161696,-0.13890125588654179,0.006388942847589521,0.00426907495653703
ols,2000-07-20,-0.10300382831295592,-0.1042109179611379,0.057489902709002755,0.2693308913677858,-0.12863406709155406,-0.031889933903284214,-0.010650086925769112
ols,2000-07-21,-0.10877213362003328,-0.1372433951088283,0.02838026285353308,-0.25066751805243737,-0.03326567312200273,0.0009110976556128245,0.003866420017627283
ols,2000-07-22,-0.11325394433566138,-0.10964363747003336,0.1444882764828214,-0.28265231519870126,-0.020220363409845087,0.01233415127874391,0.01291230206940019
ols,2000-07-23,-0.11301894576756673,-0.12073305928087587,0.03847440024308634,0.16343496692952722,-0.11692862638908608,0.05802480543236999,-0.008668589304135343
ols,2000-07-24,-0.11573795003985507,-0.2583403317996835,-0.03719137956244789,0.2491776404449391,-0.013304907198145937,-0.00897117222634733,0.009498506147470472
ols,2000-07-25,-0.12173803152133654,-0.13792284113378098,-0.029636978215603575,0.5099207759090837,0.0015593219774830086,0.09790226321177171,-0.01531294667677004
ols,2000-07-26,-0.12089175537694008,0.14520023457119233,0.120270916602861,0.6408501419926523,0.09177492939860586,0.07660682588898962,0.009821980398795642
ols,2000-07-27,-0.1051195368845627,0.0451945201170514,0.13403321287499517,0.46378337413233467,-0.03708485244886213,0.04788345286234309,0.011513300657235274
ols,2000-07-28,-0.11289478578096851,-0.013516064110404732,0.07540454791908112,0.5704639324394258,0.014502520640988562,-0.20923472965917128,-0.00984782938068063
ols,2000-07-29,-0.09873190784461712,0.3705480784344128,-0.06548276119694486,-0.33648584765709444,0.0059829221496384,0.04257949273678864,-0.00596468967545576
ols,2000-07-30,-0.09810224155678827,0.3855460008187178,-0.040198570733957814,-0.5727708989938434,0.16327571960806792,0.0861708284004323,0.04926283082371692
ols,2000-07-31,-0.09761351138641343,0.2490807414737975,0.05277003777475049,-0.8185961518784838,-0.05366227755204038,-0.03866001065708356,0.03658307952721201
ols,2000-08-01,-0.108641448687717,-0.046755481067033915,0.03636414720675227,0.09881976536082247,-0.009027236639983368,-0.06850806771751608,0.03985118270641399
ols,2000-08-02,-0.1010969222102283,-0.018784555860911822,0.06116690145995754,-0.020121301594312746,-0.06907538132106468,0.07708715097727747,0.06410538127740661
ols,2000-08-03,-0.10853820324256463,-0.04280285704236723,-0.032290916650076426,-0.1932537608180241,-0.1299771412946725,-0.005094992904223285,-0.01401664202217539
ols,2000-08-04,-0.11138030125855958,0.22317725926720652,-0.0473907830314605,-0.15136969687339705,0.03742949411725556,0.03692140235965258,-0.005406310862057345
ols,2000-08-05,-0.09655931299548609,0.4916249707195137,0.1858451384069646,0.5177294888701024,0.11541490461384644,0.1597340942279232,0.0049195737211484005
ols,2000-08-06,-0.07549114684671127,0.39585323055741856,0.18858619913104224,0.322210290737776,0.124718893924339,0.04115091478044926,-0.0021141730502820966
ols,2000-08-07,-0.05178320597317614,-0.18772705955473606,0.04693261081257991,-0.305603668484917,-0.0030653866133309774,0.10178338285673917,0.04902650581600944
ols,2000-08-08,-0.049104569256208125,0.43492218746851513,-0.01552116940164097,0.2139787888184415,-0.0711828819124518,-0.04451518995782441,0.028305472797692015
ols,2000-08-09,-0.0549216880782117,0.13444289934507656,0.17641818791896657,0.00025232433000807496,0.031334983939032626,0.06432206505116303,0.10044914335063795
ols,2000-08-10,-0.06842847359533792,0.21144008704861772,0.006424697345235044,-0.3236543152119519,-0.03802325671428471,0.10005987102495591,-0.13168537737533278
ols,2000-08-11,-0.05974373870140516,-0.031836325694972537,-0.013786534756822183,0.09714084058473385,-0.055449876363173264,-0.06232716582402991,0.04045890988736466
ols,2000-08-12,-0.05500343871223627,0.033797976648823225,0.09900368894772395,0.34776685414781905,-0.12798102154867905,0.09757344510450934,-0.08421860369097847
ols,2000-08-13,-0.06469267559131009,0.2831277446609422,0.011840425443965213,0.2273085797695451,-0.08595324591912012,0.09663404077084792,0.03509587549356352
ols,2000-08-14,-0.057375267450056125,0.06517051123364362,0.0003757305413633756,0.5209867577634796,-0.019442570109797042,-0.17982992883808538,0.15028773962879283
ols,2000-08-15,-0.07627495367029401,0.6913311562896232,0.15746592392080971,0.4128833912293768,-0.16297485169360018,-0.1234684644822756,0.12261408165743949
ols,2000-08-16,-0.05726010898989146,-0.1443711039078471,-0.1474878346933677,-0.22828109117529752,0.16243064077925332,-0.11657838056043882,0.1515673718670997
ols,2000-08-17,-0.06537790268402274,-0.45887559875969497,0.16024677914859106,-0.6469214998579776,0.23591250740544636,-0.12928209640441046,0.010791433725640585
ols,2000-08-18,-0.10645355775999654,-0.043046719781010635,0.21641089633942318,-0.902328956236456,0.20885489909556226,-0.12463827728137039,-0.06438278673423124
ols,2000-08-19,-0.10956368031390977,0.13640833786439147,0.19809363935880006,-0.7089629193638866,0.34063946311378135,0.07231109036599445,0.07797535729075378
ols,2000-08-20,-0.11187610540837216,-0.3905562052506236,0.12665436325606289,-1.0199127371114936,-0.012268455520926426,-0.11081256749382812,-0.010575829228703652
ols,2000-08-21,-0.13418608881383018,-0.36119030973389604,0.07996469693737401,0.1422173677526263,-0.023168655933685105,0.029858628255795282,-0.013370365906188387
ols,2000-08-22,-0.1569391064139451,-0.7687721117521743,0.022345059264860894,0.2831306032068479,-0.13473860905813112,0.07459173437107644,0.06114871803851421
