,true_effect,GPBSV_RMSE,TS_Shapley_VI,APE,absAPE,OOB_MSE_increase,rank_GPBSV_best,rank_TS_Shapley_VI,rank_absAPE,rank_OOB,GPBSV_share_of_RMSE,TS_Shapley_VI_share
x3,linear,-0.0834851803746704,0.39517649139499994,0.5183343410176555,0.5183343410176555,,1,1,1,,-0.04087414325759189,0.3589461108550488
x4,irrelevant,-0.04846358254082216,0.16395980899368742,0.1706857476863327,0.1706857476863327,,2,3,3,,-0.023727653299180102,0.14892772484280778
x6,irrelevant,-0.025022965593361184,0.09875961888394247,0.11738794178963893,0.11738794178963893,,3,4,4,,-0.012251183692754594,0.08970518712481922
x5,irrelevant,0.00500526364895384,0.07496644047112518,-0.10260805840405707,0.10260805840405707,,4,6,6,,0.002450565028561982,0.06809340342277603
x1,interaction (x1*x2),0.006420519773447641,0.27537803243445974,-0.32927503997992447,0.32927503997992447,,5,2,2,,0.003143471018812378,0.25013095644513705
x2,interaction (x1*x2),0.03199737832782759,0.09269503919695024,-0.013381561640704167,0.11020697979955019,,6,5,5,,0.015665839371364648,0.08419661730850263
