,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range
x1,signal,0.6077046521597028,1,-1.1338402585702239,-0.3912146920451386,beneficial,8.752319602504198,0.9243697478991597,0.47764617152698857,0.640729762148816,0.9029554908567002,2.0363699358774126
x2,trap,0.14763289682879555,2,0.37398174405028356,0.12705724392721515,harmful,2.0837404032487914,0.31092436974789917,0.1509605600862181,0.21720489774114646,0.275491487272698,0.8405163095884831
x3,noise,0.033869526138339434,4,0.03084964360264162,0.010604117732790878,harmful,0.548686404595317,0.0,0.02913787068835607,0.04271761095668462,0.007162358797250054,0.14683559830272278
x4,noise,0.05546742062206636,3,-0.00019937742091330395,2.3126376953506168e-05,near-zero,0.9081238783778597,0.0,0.046911364132029384,0.06677646066892101,0.00881427213998537,0.20171366912909514
