scenario,seed,model,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range,feature,enet_std_coef,enet_ape_abs_coef,rf_oob_vi,rf_ape
proxy_break_reverse_noisyx1_expanding,100,ols,signal,0.3707973983156333,1,-0.4958723888350932,-0.1914508011836797,beneficial,7.073157871511349,0.9327731092436976,0.4114495159118304,0.4968797820595727,0.6906122709065216,1.8193657587346124,x1,,,,
proxy_break_reverse_noisyx1_expanding,100,ols,trap,0.23105885039135934,2,0.43817031391934,0.16886729976768966,harmful,4.035371255858758,1.0,0.2724181108979624,0.3709341346706561,0.4293090438811819,1.3083577672877795,x2,,,,
proxy_break_reverse_noisyx1_expanding,100,ols,noise,0.025121301891744344,3,8.709077574672514e-05,-2.6567029242854088e-05,near-zero,0.4574343886811813,0.0,0.02238381382297743,0.03137417678555515,0.0025622573255803115,0.09372916150952004,x3,,,,
proxy_break_reverse_noisyx1_expanding,100,ols,noise,0.02273185605540983,4,0.00017719365110075658,5.9217127351316456e-05,near-zero,0.42708137451004896,0.0,0.02052232061295013,0.027927722126161358,0.0041098672048837,0.12582850220307132,x4,,,,
proxy_break_reverse_noisyx1_expanding,101,ols,signal,0.4874782536091031,1,-0.8013611569921127,-0.25849066990766323,beneficial,7.002426863419408,0.8991596638655462,0.3963759945512984,0.5478032741927724,0.8124180561272325,1.8322476137692176,x1,,,,
proxy_break_reverse_noisyx1_expanding,101,ols,trap,0.2728321604175817,2,0.7034283111477305,0.22664282206222414,harmful,4.021684133393786,0.9075630252100841,0.2721294933384387,0.3818295289575863,0.7140335641580354,1.4645128456118606,x2,,,,
proxy_break_reverse_noisyx1_expanding,101,ols,noise,0.01273732799149366,4,0.006076032738320794,0.002005226384842085,near-zero,0.1883044918050053,0.0,0.009441045860350104,0.01450656196315558,0.0007852426208867707,0.06250716779318036,x3,,,,
proxy_break_reverse_noisyx1_expanding,101,ols,noise,0.05624261402363078,3,0.029744748064977556,0.009651581948457822,harmful,0.9762235539894221,0.0,0.04885727717558167,0.0694562004293181,0.014326415623626128,0.2851794932787147,x4,,,,
proxy_break_reverse_noisyx1_expanding,102,ols,signal,0.4786034050168523,1,-0.8020132071701042,-0.2957698507315044,beneficial,7.076418011993753,0.9327731092436976,0.4041816098090568,0.47651759405322097,0.6398341538821717,1.6831004232124642,x1,,,,
proxy_break_reverse_noisyx1_expanding,102,ols,trap,0.2079244779691995,2,0.42509644261734464,0.15435410498673735,harmful,3.538448390210942,0.8487394957983193,0.23319786344388285,0.3151641731272198,0.3672262258795301,1.1617070061337291,x2,,,,
proxy_break_reverse_noisyx1_expanding,102,ols,noise,0.07822058420105757,3,-0.03872215399579893,-0.014067996377968187,beneficial,1.5330309598554914,0.0,0.07890939194784502,0.09959789605252753,0.02214166298525357,0.3459720081874215,x3,,,,
proxy_break_reverse_noisyx1_expanding,102,ols,noise,0.03510096929627285,4,-0.0003734807325534129,-7.908449804035045e-05,near-zero,0.6237279153026836,0.0,0.031969353037484084,0.045187170293846515,0.005314550896885828,0.1452220583585242,x4,,,,
proxy_break_reverse_noisyx1_expanding,103,ols,signal,0.5280310416537348,1,-0.739947384710223,-0.27212328005014824,beneficial,7.602991428442876,0.9243697478991596,0.4337811669210248,0.5391776168104063,0.7784811948778954,1.7668506324789202,x1,,,,
proxy_break_reverse_noisyx1_expanding,103,ols,trap,0.2061965286112496,2,0.4441666494174332,0.16197396740081815,harmful,4.040503984857446,1.0,0.26356691481413763,0.3532004539810591,0.49752952256113203,1.4119693697347615,x2,,,,
proxy_break_reverse_noisyx1_expanding,103,ols,noise,0.0690619734058589,3,-0.028481899319271663,-0.010297539589728415,beneficial,1.266914464926491,0.0,0.06099501914176592,0.09088429078249066,0.011822786206720648,0.2435459912265096,x3,,,,
proxy_break_reverse_noisyx1_expanding,103,ols,noise,0.026128042850814038,4,0.010564379849672187,0.0038475224375858243,near-zero,0.4967259641604809,0.0,0.024066553332502117,0.03486352374144159,0.0014428039968527177,0.09347813808270128,x4,,,,
proxy_break_reverse_noisyx1_expanding,104,ols,signal,0.6239450066429759,1,-0.8934650663043899,-0.3187862425427737,beneficial,9.390156690712008,0.9663865546218487,0.5101829644330946,0.6105999952885823,1.1258450537019382,2.22670461213769,x1,,,,
proxy_break_reverse_noisyx1_expanding,104,ols,trap,0.2092969576094348,2,0.5100130168937566,0.17985414285600548,harmful,3.482684696088469,1.0,0.22137390736994855,0.2806760510002711,0.5903469799373495,1.3572378190209424,x2,,,,
proxy_break_reverse_noisyx1_expanding,104,ols,noise,0.032686219074277045,3,-0.01421543052090354,-0.005095451336846284,near-zero,0.6531252214545702,0.0,0.03034787024808348,0.045218641892621134,0.004301847718312315,0.1666642032670363,x3,,,,
proxy_break_reverse_noisyx1_expanding,104,ols,noise,0.02414145944846735,4,0.003309818815648753,0.0012164861035298914,near-zero,0.4358301806778816,0.0,0.020741396612248646,0.027664592768564204,0.002774257402407363,0.10051797198278603,x4,,,,
proxy_break_reverse_noisyx1_expanding,105,ols,signal,0.5092764810097162,1,-0.719701816093601,-0.26811180945065344,beneficial,8.16019670386641,0.9495798319327732,0.4564776394479395,0.5578890637095285,0.7045809462290705,1.7793660889050429,x1,,,,
proxy_break_reverse_noisyx1_expanding,105,ols,trap,0.16061723455983967,2,0.3538504259754001,0.1305982077318877,harmful,2.38035224504702,0.3445378151260504,0.16170923335805235,0.23792119795331845,0.2849445606058956,0.8456860449117152,x2,,,,
proxy_break_reverse_noisyx1_expanding,105,ols,noise,0.05774414374877487,3,0.0014733310324854256,0.0006361653956963331,near-zero,0.9779645753570724,0.0,0.05241062737186388,0.06280903248284438,0.016021493739335032,0.2698792708585908,x3,,,,
proxy_break_reverse_noisyx1_expanding,105,ols,noise,0.039178230434204916,4,0.00527778009917792,0.002000306399469625,near-zero,0.6523877683812824,0.0,0.034317401497774534,0.04721084017516378,0.002909050193944261,0.1125453147565542,x4,,,,
proxy_break_reverse_noisyx1_expanding,106,ols,signal,0.4994048486105366,1,-0.5686072887161159,-0.2252063415432113,beneficial,7.665207943355137,1.0,0.4370582647591623,0.5698742323430767,0.7487329970821875,2.0263826580021047,x1,,,,
proxy_break_reverse_noisyx1_expanding,106,ols,trap,0.22508848695442232,2,0.3468376669549641,0.1354769241035723,harmful,4.354396204475144,1.0,0.2778739533835269,0.40594296470040586,0.4101446919790029,1.378121717580488,x2,,,,
proxy_break_reverse_noisyx1_expanding,106,ols,noise,0.04386186200865865,3,-0.003336121595435393,-0.0013581233384466244,near-zero,0.798153857550952,0.0,0.03802751651835358,0.054254980465309466,0.010188097194637329,0.19038351416228894,x3,,,,
proxy_break_reverse_noisyx1_expanding,106,ols,noise,0.03972539009537054,4,-0.013280003563205951,-0.005107800997261516,near-zero,0.6725442801919254,0.0,0.03169779195010633,0.04362274408910341,0.004497093436625965,0.14567225012949184,x4,,,,
proxy_break_reverse_noisyx1_expanding,107,ols,signal,0.6830801969743225,1,-1.1747691386037813,-0.3735207465403236,beneficial,10.917158520649624,0.9831932773109244,0.579154053187514,0.6663587883405933,1.3562607137876546,2.4493172295053176,x1,,,,
proxy_break_reverse_noisyx1_expanding,107,ols,trap,0.1596635292377704,2,0.6153938284268843,0.1946657005822155,harmful,1.9525701151363852,0.4117647058823529,0.11827367113134918,0.1394422972613239,0.661843952329668,1.1181407719529122,x2,,,,
proxy_break_reverse_noisyx1_expanding,107,ols,noise,0.02160288919160857,4,0.0031719351045656906,0.0010307363799924973,near-zero,0.34195480878330664,0.0,0.015971606563702872,0.024083182635607447,0.0015929495155162482,0.069061325160239,x3,,,,
proxy_break_reverse_noisyx1_expanding,107,ols,noise,0.108816433977657,3,-0.020180017620752392,-0.005956830541444298,beneficial,1.8059334033558725,0.2857142857142857,0.08541114530483505,0.13262050098340344,0.029034243523095436,0.4072077698047407,x4,,,,
proxy_break_reverse_noisyx1_expanding,108,ols,signal,0.4925066252979077,1,-0.793359861966708,-0.3064782905780876,beneficial,8.535518611787008,0.9327731092436976,0.4664267666907717,0.5353534718964817,0.8831297413387935,1.963398886160196,x1,,,,
proxy_break_reverse_noisyx1_expanding,108,ols,trap,0.24126416096336856,2,0.4881974566087864,0.1865113255717459,harmful,4.4602791222584495,1.0,0.2792840008541121,0.3523210549984451,0.5939000898520759,1.415466955757562,x2,,,,
proxy_break_reverse_noisyx1_expanding,108,ols,noise,0.03540535550560815,3,-0.018740055173750512,-0.007170108784270919,near-zero,0.611374182435175,0.0,0.02944263847513993,0.042914040979275134,0.002901250160084999,0.12211072191458433,x3,,,,
proxy_break_reverse_noisyx1_expanding,108,ols,noise,0.013355220310367295,4,0.007008570871652889,0.0027548103201986123,near-zero,0.25649359390993903,0.0,0.011785715045693885,0.01812621014739793,0.0007026725468112687,0.062473223445599864,x4,,,,
proxy_break_reverse_noisyx1_expanding,109,ols,signal,0.4671486530816491,1,-0.7463412068965267,-0.2781055813834456,beneficial,7.33849004516233,0.8487394957983193,0.4106721639613988,0.4695538772923681,0.6881270330635924,1.7005108692515516,x1,,,,
proxy_break_reverse_noisyx1_expanding,109,ols,trap,0.2000297257910772,2,0.4306466732635304,0.1592357217129953,harmful,3.8082924537891065,0.9495798319327732,0.26920042188781484,0.3220680881479812,0.4197837010340725,1.177534920688227,x2,,,,
proxy_break_reverse_noisyx1_expanding,109,ols,noise,0.01668149229711845,4,0.0035997384135191147,0.0013300538738678126,near-zero,0.3411622274436878,0.0,0.016481368729343762,0.022981579826295676,0.0017910817135888628,0.08731329767013629,x3,,,,
proxy_break_reverse_noisyx1_expanding,109,ols,noise,0.06452996149821964,3,-0.00384659016994193,-0.001469235030124589,near-zero,1.1810633558628358,0.18487394957983194,0.05674801462222887,0.06959438171561948,0.01191926586681279,0.21852503785966212,x4,,,,
proxy_break_reverse_noisyx1_expanding,110,ols,signal,0.6267217703488158,1,-0.8562138465033132,-0.3179070052107641,beneficial,8.170170965890787,0.9243697478991596,0.4541675287288414,0.551275085970408,0.7333688944760468,1.791760873802772,x1,,,,
proxy_break_reverse_noisyx1_expanding,110,ols,trap,0.14715628915152107,2,0.34379868719578666,0.12582962694186697,harmful,1.9800217134167937,0.3865546218487395,0.13000954130439255,0.17588614994596713,0.20471016097826544,0.7577391959944176,x2,,,,
proxy_break_reverse_noisyx1_expanding,110,ols,noise,0.08895971575107745,3,0.006871229131674115,0.002866289201764541,near-zero,1.5478372476915274,0.0,0.08244617797141225,0.10406654974165244,0.0258390286904354,0.3435968698152856,x3,,,,
proxy_break_reverse_noisyx1_expanding,110,ols,noise,0.018647406879679904,4,0.015773151355430882,0.005913829636944843,near-zero,0.2867518652241009,0.0,0.015172338481148934,0.020696201061607574,0.0029561096692741038,0.1074560967963288,x4,,,,
proxy_break_reverse_noisyx1_expanding,111,ols,signal,0.2709552810853503,1,-0.30891315545789233,-0.13600186132123124,beneficial,4.820460103250047,0.9243697478991596,0.3187746705509313,0.38720129206087983,0.30767722568300365,1.243394431182105,x1,,,,
