scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
proxy_break_reverse_noisyx1_expanding,114,rf,119,0.1,2.2516590395688523,1.8231136763430968,1.5089420768833282,17.23269390913416,0.4648691021399749,2,True,True,False,True,True,0.09512030118181558,0.499631,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,115,ols,119,0.1,1.6549094344430486,1.2971428735179207,1.0567523430704782,18.53230938204136,0.28242726702734655,2,True,True,False,True,True,0.03751345084227764,0.500748,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,115,enet,119,0.1,1.6549094344430486,1.2871497894769317,1.0467435758486416,18.677407679644315,0.24972431621822502,2,True,True,False,True,True,0.06735092183744429,0.499815,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,115,rf,119,0.1,1.6549094344430486,1.3534015373280108,1.1894070534116572,12.11720833715943,0.19082818063136053,2,True,True,False,True,True,-0.036172383511570816,0.590943,,,,2,1,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,116,ols,119,0.01,2.4488316465868145,1.7196233982486029,1.352601278816859,21.343168498727536,0.37398174405028356,2,True,True,False,True,True,0.5639045046237823,0.307663,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,116,enet,119,0.01,2.4488316465868145,1.7167412734931173,1.3529425698616482,21.19123651586907,0.36777806890795844,2,True,True,False,True,True,0.5656413905199845,0.306584,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,116,rf,119,0.01,2.4488316465868145,1.8195313893094331,1.515255667430358,16.72275200454535,0.3471296528136771,2,True,True,False,True,True,0.7431402692506066,0.14107,,,,2,2,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,117,ols,119,0.01,1.7695146775635617,1.6414676018945809,1.2371494239885021,24.631505211520164,0.49872405051293855,2,True,True,False,True,True,0.2801346336665804,0.390977,2.0,2.0,2.0,1,2,,,
proxy_break_reverse_noisyx1_expanding,117,enet,119,0.01,1.7695146775635617,1.6347950403982843,1.234618040538578,24.47872607701399,0.490015168868414,2,True,True,False,True,True,0.28088228645979163,0.390318,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,117,rf,119,0.01,1.7695146775635617,1.491673058794054,1.3122539544579979,12.0280448371916,0.19645745768601675,2,True,True,False,True,True,0.3441230647243352,0.390629,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,118,ols,119,0.1,2.3058702630606254,1.445511506969577,1.2290700110325032,14.973349910636795,0.23677558934969903,2,True,True,False,True,True,0.25669833670956055,0.500087,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,118,enet,119,0.1,2.3058702630606254,1.4513803227892987,1.2488644549889365,13.953328746469582,0.2100582659919768,2,True,True,False,True,True,0.6143348445921889,0.265297,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,118,rf,119,0.1,2.3058702630606254,1.4288448922905268,1.4649166137798166,-2.5245372457093387,-0.03597976875562308,2,False,False,False,True,False,0.7262619657550399,0.155843,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,119,ols,119,0.1,2.7942781740883955,1.8422271613797228,1.4406920304258886,21.79617906909522,0.4182921532588739,2,True,True,False,True,True,0.5027459999373536,0.354956,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,119,enet,119,0.1,2.7942781740883955,1.8597907291295945,1.5041299671873538,19.123697971582775,0.3451582765975813,2,True,True,False,True,True,0.19595026448514463,0.489565,,,2.0,2,2,2.0,,
