horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing
1,all_comb,All models combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.5817586755607269,7.5e-05,2602.2975206611573,6222.0,0.6666666666666666,1000000,20260602,121,81.0,40.0,1,0,0
3,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.38295995813309736,0.27186,3839.223140495868,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.032369185304425896,0.998085,3502.0978260869565,3619.25,0.6666666666666666,1000000,20260602,92,43.0,49.0,1,29,0
3,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3528614805900683,0.420221,4026.495867768595,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,-0.01850803998607975,0.999897,6337.157024793389,6222.0,0.6666666666666666,1000000,20260602,121,55.0,66.0,1,0,0
3,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.4167350722974462,0.138994,3629.0743801652893,6222.0,0.6666666666666666,1000000,20260602,121,74.0,47.0,1,0,0
3,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3567718917942465,0.399931,4002.1652892561983,6222.0,0.6666666666666666,1000000,20260602,121,69.0,52.0,1,0,0
3,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.400099885503585,0.198777,3732.5785123966944,6222.0,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
3,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.41133700465689593,0.157089,3662.6611570247933,6222.0,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
3,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9248069367294405,0.0,183.47107438016528,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9687437387297135,0.0,44.08695652173913,1410.5,0.6666666666666666,1000000,20260602,92,,,1,29,0
3,rf_cv,RF,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.913717653434494,0.0,210.52892561983472,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,xgb_cv,XGBoost,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9101409023167593,0.0,219.25619834710744,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,nn_comb,Neural net,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9550535157837692,0.0,109.6694214876033,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,lin_comb,Linear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9545522286952988,0.0,110.89256198347107,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9437068147947433,0.0,137.35537190082644,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,all_comb,All models combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9470667931174638,0.0,129.15702479338842,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,pca,PCA,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.3786829458785276,0.291579,3865.8347107438017,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,enet,ENet,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.02060239480315107,0.998672,3544.6847826086955,3619.25,0.6666666666666666,1000000,20260602,92,43.0,49.0,1,29,0
3,rf_cv,RF,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.3273428596475848,0.551414,4185.272727272727,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,xgb_cv,XGBoost,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,-0.015689462345024774,0.999915,6319.619834710744,6222.0,0.6666666666666666,1000000,20260602,121,55.0,66.0,1,0,0
3,nn_comb,Neural net,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.4170804211130327,0.138518,3626.9256198347107,6222.0,0.6666666666666666,1000000,20260602,121,74.0,47.0,1,0,0
3,lin_comb,Linear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.34993929830433723,0.435141,4044.6776859504134,6222.0,0.6666666666666666,1000000,20260602,121,69.0,52.0,1,0,0
3,nonlin_comb,Nonlinear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.3953739197887528,0.217375,3761.9834710743803,6222.0,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
3,all_comb,All models combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.402658123268275,0.189114,3716.6611570247933,6222.0,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
6,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.28583724507280217,0.739907,4443.520661157025,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
6,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.2876559541410526,0.692595,1547.2112676056338,2172.0,0.6666666666666666,1000000,20260602,71,40.0,31.0,1,50,0
6,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.5520028903039336,0.000563,2787.438016528926,6222.0,0.6666666666666666,1000000,20260602,121,77.0,44.0,1,0,0
6,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.07970385010798797,0.99796,5726.082644628099,6222.0,0.6666666666666666,1000000,20260602,121,59.0,62.0,1,0,0
6,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.178720668595307,0.968455,5110.0,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
6,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3666727766841732,0.349619,3940.561983471074,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
6,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.2527368893635221,0.849357,4649.471074380165,6222.0,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0
6,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.28189229898706525,0.754534,4468.06611570248,6222.0,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0
6,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.931926568215689,0.0,166.099173553719,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9617706237424547,0.0,32.11267605633803,840.0,0.6666666666666666,1000000,20260602,71,,,1,50,0
6,rf_cv,RF,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9691301991600054,0.0,75.32231404958678,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,xgb_cv,XGBoost,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9603915458609944,0.0,96.64462809917356,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,nn_comb,Neural net,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9306123831459152,0.0,169.30578512396696,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,lin_comb,Linear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9502032244953258,0.0,121.50413223140495,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9481438829426907,0.0,126.52892561983471,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,all_comb,All models combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.953725782414307,0.0,112.9090909090909,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
6,pca,PCA,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.2926273340931008,0.712017,4401.272727272727,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
6,enet,ENet,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.2947111768215184,0.668425,1531.887323943662,2172.0,0.6666666666666666,1000000,20260602,71,41.0,30.0,1,50,0
6,rf_cv,RF,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.5404762094514002,0.001157,2859.1570247933882,6222.0,0.6666666666666666,1000000,20260602,121,77.0,44.0,1,0,0
6,xgb_cv,XGBoost,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.0734503800165236,0.998362,5764.99173553719,6222.0,0.6666666666666666,1000000,20260602,121,59.0,62.0,1,0,0
6,nn_comb,Neural net,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.17064216283993616,0.974142,5160.264462809917,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
6,lin_comb,Linear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.35776809030074574,0.394541,3995.96694214876,6222.0,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
