,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,rf_oob_vi,rf_ape,perm_import_train,pdp_range
x1,signal,0.5243262032134918,1,-0.5378026595529249,-0.20662772201252477,beneficial,0.6477987202316847,0.5940463550103895,1.0773044533014875,1.4158526716214712
x2,trap,0.10166107051238427,2,0.023244621635130178,0.009127327847201105,harmful,-0.023705844551443582,0.6657796655405768,0.050501796753339455,0.18089659094449964
x3,noise,0.09006904880688966,3,0.01186319339102312,0.004652443992123036,near-zero,-0.027430441955614338,0.12245750271192106,0.055184446453681826,0.1819230382035401
x4,noise,0.06488985228954466,4,0.03471546932525937,0.013379720635878856,harmful,0.07262103081969692,0.23432209079331293,0.20740843371273293,0.42641404157007956
