,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range
x1,signal,0.7863299702024847,1,-0.8604950812847485,-0.3296139886842775,beneficial,3.3611599500487093,0.8471177944862155,0.6494819434836726,0.9791938730180322,1.4896998144487381,2.2740277784916403
x2,trap,0.23271249406818667,2,0.1904306055146253,0.07379676209940589,harmful,0.7376663004469253,0.03007518796992481,0.14485819181270582,0.9006005231577201,0.07060525344197185,0.541935309716854
x3,noise,0.1930107024758503,3,0.0873646833632134,0.03315059923903786,harmful,0.9242741861740043,0.08270676691729323,0.17046048475635506,0.26071447372755246,0.16687673772538633,0.5333029033383277
x4,noise,0.15453674757282676,4,0.05710724475871737,0.022348437298892708,harmful,0.7196467103211104,0.045112781954887216,0.14117640100762419,0.19375608460605884,0.0928303059097033,0.6118834468985112
