scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
persistent_rho099_rolling20,113,enet,399,0.1,2.156071027919137,1.3276598972414133,1.2222688577772352,7.938105209260118,0.07857242211113886,2,False,False,False,True,True,0.15412689210235964,0.489773,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,113,rf,399,0.1,2.156071027919137,1.344585211569742,1.3177419042171743,1.9964006090197475,-0.0022700959195401486,2,False,False,False,True,True,0.936203499412284,0.034059,,,,2,2,,3.0,2.0
persistent_rho099_rolling20,114,ols,399,0.1,1.912322697280483,1.460732881316532,1.2986266572918015,11.097595330271956,0.09263390707973038,2,False,False,False,True,True,0.07003188748597589,0.499907,2.0,2.0,1.0,4,3,,,
persistent_rho099_rolling20,114,enet,399,0.1,1.912322697280483,1.32069662270666,1.2382273988291086,6.244373042200833,0.032384726855035795,2,False,False,False,True,True,0.23362096642994512,0.449624,,,1.0,3,2,3.0,,
persistent_rho099_rolling20,114,rf,399,0.1,1.912322697280483,1.404457525892859,1.3827765190441987,1.5437281974673496,0.0024098259767402954,2,False,False,False,True,True,0.32446904739011306,0.468812,,,,4,4,,2.0,2.0
persistent_rho099_rolling20,115,ols,399,0.01,1.9469655415835463,1.5499497949597292,1.3217301705582871,14.72432366155264,0.26538548431938097,2,False,False,False,True,True,-0.05523619325907947,0.605419,2.0,2.0,1.0,3,4,,,
persistent_rho099_rolling20,115,enet,399,0.01,1.9469655415835463,1.5229785489824337,1.3127488096848774,13.80385425901236,0.24481012784278725,2,False,False,False,True,True,-0.04309424012094265,0.59334,,,1.0,3,4,2.0,,
persistent_rho099_rolling20,115,rf,399,0.01,1.9469655415835463,1.4739425784706222,1.4347077686416914,2.6618954090899005,0.023244621635130178,2,False,False,False,True,True,0.2803439877360072,0.457905,,,,4,4,,3.0,1.0
persistent_rho099_rolling20,116,ols,399,0.1,2.0226144405347224,1.2965663599427115,1.1258542102166373,13.166479942732515,0.15689814642500474,2,False,False,False,True,True,0.09169154166567073,0.490149,2.0,2.0,2.0,3,2,,,
persistent_rho099_rolling20,116,enet,399,0.1,2.0226144405347224,1.1608265447120032,1.0678866427957316,8.006355673002775,0.0733723765588779,2,False,False,False,True,True,0.19805771832169783,0.490227,,,2.0,3,2,2.0,,
persistent_rho099_rolling20,116,rf,399,0.1,2.0226144405347224,1.2575530567039162,1.2288973157828567,2.2786904113745337,0.014481463111490171,3,False,False,False,True,True,0.6798221668667345,0.249351,,,,3,3,,3.0,2.0
persistent_rho099_rolling20,117,ols,399,0.1,1.997173568403962,1.3409419522000867,1.1787098777130953,12.098366690729366,0.1243328916661202,2,False,False,False,True,True,0.07726806592925495,0.499858,4.0,3.0,2.0,4,4,,,
persistent_rho099_rolling20,117,enet,399,0.1,1.997173568403962,1.2191999457942764,1.1252063574553894,7.709448205204161,0.07628668312312326,2,False,False,False,True,True,0.19483491659611396,0.499665,,,4.0,4,4,4.0,,
persistent_rho099_rolling20,117,rf,399,0.1,1.997173568403962,1.3423192195891709,1.3308430026280555,0.8549543799743655,0.006069181032773256,3,False,False,False,True,True,0.3795313653087342,0.468059,,,,4,4,,4.0,2.0
persistent_rho099_rolling20,118,ols,399,0.1,1.9938945382554993,1.4683019906073067,1.270021036823452,13.504098955954117,0.1904306055146253,2,False,False,False,True,True,0.07555590239547638,0.499319,3.0,3.0,2.0,4,3,,,
persistent_rho099_rolling20,118,enet,399,0.1,1.9938945382554993,1.3153336332000554,1.2187981442970093,7.339239753809561,0.09780560439158141,2,False,False,False,True,True,0.17591547596781199,0.490805,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,118,rf,399,0.1,1.9938945382554993,1.3690031377864886,1.3315624370277759,2.7348878702535195,0.012100457928467385,2,False,False,False,True,True,0.35975514240957995,0.446935,,,,3,3,,3.0,2.0
persistent_rho099_rolling20,119,ols,399,0.1,2.0830674971527086,1.323934051454464,1.1612335957105484,12.289166183555297,0.17946666985778242,2,False,False,False,True,True,0.11873176781140582,0.498939,3.0,3.0,1.0,4,4,,,
persistent_rho099_rolling20,119,enet,399,0.1,2.0830674971527086,1.1990395064053643,1.1014850658738171,8.136048896671342,0.09464806186462792,2,False,False,False,True,True,0.21861943664144057,0.49983,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,119,rf,399,0.1,2.0830674971527086,1.428592540886402,1.3765657546687935,3.6418212141390085,0.02271059866224495,2,False,False,False,True,True,0.6362140204300035,0.255691,,,,4,3,,3.0,1.0
persistent_rho099_rolling20,120,ols,399,0.1,2.107131669497615,1.6332005247873258,1.4509953347766618,11.156326932627618,0.17031022298894746,2,False,False,False,True,True,-0.008095193016198099,0.567797,2.0,2.0,1.0,4,4,,,
