,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,enet_std_coef,enet_ape_abs_coef,perm_import_train,pdp_range
x1,signal,0.7121978383545894,1,-0.9520512236608095,-0.35938521716160915,beneficial,0.544169547883065,0.7539049749019555,1.2689627697239856,2.321322309605531
x2,trap,0.17314185336576318,2,0.0659688115009317,0.02619261258006108,harmful,0.06455649313084408,0.4431167276073271,0.03402170007946458,0.2467437508045583
x3,noise,0.12668652128139338,4,0.051041630701165595,0.01988743091609964,harmful,0.08987359736309058,0.11773349126438241,0.06105580170831977,0.35645246409575054
x4,noise,0.1406374469784841,3,0.02011520819502428,0.00826912315367044,harmful,0.11822700854627854,0.19534788283167645,0.05252958668052225,0.4824846240719058
