horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing,comparison_role,left_object,right_object,left_transform,left_rank_type,right_rank_type,normalizer_alpha,pvalue_null_alpha,right_source_sha256,n_structural_zero,n_exact_net_zero_left,n_near_zero_left,n_good_left,n_bad_left,tie_method,zero_sign_rule
1,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5580428631873304,0.003034,4245.475525495419,9606.079802473989,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5459668247048528,0.028749,4060.214344566375,8942.549940160225,0.6666666666666666,1000000,20260602,102,56.0,46.0,1,19,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,18,1,,,average,value >= 0 is non-improving
1,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.8599290151661536,0.0,1593.48195323817,11376.245802286425,0.6666666666666666,1000000,20260602,121,90.0,31.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.4991355588037746,0.035066,4901.91107371459,9786.901745325042,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5695740918125473,0.001144,3855.9333242952835,8958.413633911656,0.6666666666666666,1000000,20260602,121,80.0,41.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.6488770496442171,0.000153,3801.9090813033695,10827.856958512692,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.6672232936059588,8e-06,3107.9168021308506,9339.34600113135,0.6666666666666666,1000000,20260602,121,81.0,40.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.7088122403481554,0.0,2834.388875357526,9733.88743656818,0.6666666666666666,1000000,20260602,121,81.0,40.0,1,0,0,existing_referee_variant,ishapley_vi,pbsv_rmse,identity,ordinary,signed,0.5,0.6666666666666666,93379958c744fd0153d17d1e5e35b45f9c05b75ee5175f804af5576c14055caf,0,0,0,,,average,value >= 0 is non-improving
1,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9582600593029525,0.0,115.95148456161847,2777.950390567292,0.6666666666666666,1000000,20260602,121,,,1,0,0,existing_referee_variant,ishapley_vi,oshapley_vi,identity,ordinary,ordinary,,0.6666666666666666,,0,0,0,,,average,value >= 0 is non-improving
1,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9906129905073578,0.0,23.210712293521127,2472.6418261017375,0.6666666666666666,1000000,20260602,102,,,1,19,0,existing_referee_variant,ishapley_vi,oshapley_vi,identity,ordinary,ordinary,,0.6666666666666666,,0,18,1,,,average,value >= 0 is non-improving
