horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing
3,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5461967038050662,0.005239,4229.180373842271,9319.413078977732,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.3241420476108279,0.463324,5072.139416275835,7504.741785379184,0.6666666666666666,1000000,20260602,92,43.0,49.0,1,29,0
3,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.6077572035418048,0.000606,4204.888297458039,10720.116049106822,0.6666666666666666,1000000,20260602,121,68.0,53.0,1,0,0
3,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.2658717038815026,0.690792,7313.701693616162,9962.429908076503,0.6666666666666666,1000000,20260602,121,55.0,66.0,1,0,0
3,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5533743508031742,0.003761,4321.501112305685,9675.891028822709,0.6666666666666666,1000000,20260602,121,74.0,47.0,1,0,0
3,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5457729766495536,0.011716,4895.213918334311,10777.02044723469,0.6666666666666666,1000000,20260602,121,69.0,52.0,1,0,0
3,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.5834009452801672,0.001283,4080.785053330223,9795.473626493447,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
3,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,ishapley_vi,signed,0.6042842622319348,0.000661,4034.554891107319,10195.58866640788,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
3,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9459627871748328,0.0,148.42463545285784,2746.7115288324194,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9943251810987317,0.0,11.797172843419364,2078.8633168157453,0.6666666666666666,1000000,20260602,92,,,1,29,0
3,rf_cv,RF,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9657149694924032,0.0,106.4905445420793,3106.036161131118,0.6666666666666666,1000000,20260602,121,,,1,0,0
3,xgb_cv,XGBoost,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,ishapley_vi,ordinary,0.9534799380107319,0.0,138.75495631758545,2982.69070126337,0.6666666666666666,1000000,20260602,121,,,1,0,0
