period,y_base
1990-01-01,0.0041897469051792539
1990-02-01,0.0041394290400055033
1990-03-01,0.0043046363754470265
1990-04-01,0.0039342930428739025
1990-05-01,0.0040393641991598676
1990-06-01,0.0040903537396542768
1990-07-01,0.0044245181588655272
1990-08-01,0.0038767196984954297
1990-09-01,0.0046740407270238118
1990-10-01,0.0039873693144389429
1990-11-01,0.0046606828842941104
1990-12-01,0.0040633255512036535
1991-01-01,0.0045127016905344187
1991-02-01,0.0045127240257903612
1991-03-01,0.0041474689134839426
1991-04-01,0.004409707601950549
1991-05-01,0.0037184836208126572
1991-06-01,0.0042430598997475677
1991-07-01,0.0041005974299670733
1991-08-01,0.0041768843298894322
1991-09-01,0.0041507140770494959
1991-10-01,0.0043632789773794204
1991-11-01,0.0043390113466494039
1991-12-01,0.0045167486928082631
1992-01-01,0.0042014445884553508
1992-02-01,0.0042419248506450034
1992-03-01,0.0043657502098560196
1992-04-01,0.0042010494493709078
1992-05-01,0.0048581022050784659
1992-06-01,0.0044863535270493618
1992-07-01,0.0048277568764592185
1992-08-01,0.0039489131432879111
1992-09-01,0.0044165631009253263
1992-10-01,0.0042368671727379178
1992-11-01,0.0046259384981179154
1992-12-01,0.0044429739812516175
1993-01-01,0.0044287470364604989
1993-02-01,0.0040622577284502061
1993-03-01,0.0040363678196741522
1993-04-01,0.0048139061280727865
1993-05-01,0.0048810712761338249
1993-06-01,0.0042109854564368722
1993-07-01,0.0046513345497834341
1993-08-01,0.0045474126916356244
1993-09-01,0.0038694533661260671
1993-10-01,0.0046355268217199482
1993-11-01,0.0041091550715624684
1993-12-01,0.0041782223733712546
1994-01-01,0.0046745718496609065
1994-02-01,0.0046392839060258985
1994-03-01,0.0043998408670847412
1994-04-01,0.0049988418991678933
1994-05-01,0.0045644624493663775
1994-06-01,0.0042195429471000179
1994-07-01,0.0043184461824352077
1994-08-01,0.004593696218947404
1994-09-01,0.0046743476608374947
1994-10-01,0.004486961782218842
1994-11-01,0.0044534803775243548
1994-12-01,0.0045397451486267519
1995-01-01,0.004304140200979252
1995-02-01,0.0045213335190383
1995-03-01,0.0044444575235448851
1995-04-01,0.0041898269006914813
1995-05-01,0.004604412066648072
1995-06-01,0.0049497290952317911
1995-07-01,0.0047709111947376306
1995-08-01,0.0049440926718218522
1995-09-01,0.0046195696062250706
1995-10-01,0.00442785834380683
1995-11-01,0.004541748039997435
1995-12-01,0.0043105463141115356
1996-01-01,0.0043052511020630667
1996-02-01,0.0042389644572689532
1996-03-01,0.0043748443478224836
1996-04-01,0.0046551393857788706
1996-05-01,0.0046129254636940835
