scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
break_b08_expanding,100,ols,119,0.0001,1.6109939915236489,1.30358761216921,1.025160939755596,21.358493269992294,0.36083030802373656,2,True,True,False,True,True,-0.12969236745325197,0.645828,2.0,2.0,2.0,2,2,,,
break_b08_expanding,100,enet,119,0.0001,1.6109939915236489,1.3034517604071463,1.0251148871790776,21.353830013711235,0.360736260978415,2,True,True,False,True,True,-0.12966189299247133,0.638655,,,2.0,2,2,2.0,,
break_b08_expanding,100,rf,119,0.0001,1.6109939915236489,1.35663486261421,1.183275103661246,12.778660178237116,0.323750955018681,2,True,True,False,True,True,-0.1198547296948258,0.644813,,,,2,2,,2.0,2.0
break_b08_expanding,101,ols,119,0.01,1.8070563969007252,1.540075241504973,0.9709909112236249,36.95172254864864,0.5391664368285735,2,True,True,False,True,True,-0.23321987635605934,0.646222,2.0,2.0,2.0,2,2,,,
break_b08_expanding,101,enet,119,0.01,1.8070563969007252,1.5266453257172194,0.9695483719271049,36.49157695015965,0.5268937476710187,2,True,True,False,True,True,-0.23156790340469535,0.650753,,,2.0,2,2,2.0,,
break_b08_expanding,101,rf,119,0.01,1.8070563969007252,1.4435052997187143,1.048412944718181,27.37034322475451,0.3704544332272458,2,True,True,False,True,True,-0.1888629923802987,0.627455,,,,2,2,,2.0,2.0
break_b08_expanding,102,ols,119,0.0001,2.2002221350799442,1.488403527945596,0.9814762609846589,34.05845642281132,0.39800838917237313,2,True,True,False,True,True,-0.13331451733902555,0.627086,2.0,2.0,2.0,2,2,,,
break_b08_expanding,102,enet,119,0.0001,2.2002221350799442,1.4882760680722231,0.9814539200026748,34.05431014731288,0.397900155623347,2,True,True,False,True,True,-0.1332949895602158,0.635851,,,2.0,2,2,2.0,,
break_b08_expanding,102,rf,119,0.0001,2.2002221350799442,1.5426196148159728,1.185660070651119,23.139829205882194,0.3424687342632091,2,True,True,False,True,True,-0.14096679046857497,0.646001,,,,2,2,,2.0,2.0
break_b08_expanding,103,ols,119,0.1,2.423424582419385,1.6406555559831704,1.236801765610129,24.61539162807578,0.435167960137873,2,True,True,False,True,True,-0.1564755226485015,0.635747,2.0,2.0,2.0,2,2,,,
