,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range
x1,signal,0.6715475115168248,1,-0.2688426127542647,-0.12015905698683113,beneficial,14.04335099676077,1.0,0.5700095854957351,1.0609730833959274,1.671919579106635,3.0484956067693916
x2,trap,0.5942925604071979,2,0.1958247328201213,0.08847821541891258,harmful,11.464349186360158,1.0,0.46905297678578084,0.7156544621673229,1.1694549623048027,2.4032368413393588
x3,noise,0.04921123892456313,3,-0.0026743946596543356,-0.001291233956707337,near-zero,0.8735246849268057,0.0,0.03488742720882917,0.05648242970628517,0.008846026161523187,0.15643960818381114
x4,noise,0.029517102604264957,4,0.002240949033385587,0.0009594649261996907,near-zero,0.6119169822424176,0.0,0.024874673783609146,0.04316025539022595,0.003825886572636105,0.1396002865489213
