model,feature,mean_oShapley,median_oShapley,mean_GPBSV,median_GPBSV
enet,x1,0.7841340831173527,0.7828113276697432,-0.9362302330897044,-0.9659976900266719
enet,x2,0.9086610351727439,0.9244365614826344,1.2505316606576762,1.2789769660784147
enet,x3,0.032689930216746196,0.026268755999342034,0.00277891570008465,0.0032169411413030756
enet,x4,0.03268304129709721,0.026200287826533622,0.0018331744793098701,0.0023898060482513733
ols,x1,0.8121415318597576,0.8275577240418994,-0.9392085155618703,-0.9669959943455944
ols,x2,0.9390429933308102,0.94216493254877,1.3383603044062826,1.3439645343863984
ols,x3,0.04630454498013098,0.03134685003254079,0.004761896307882539,0.003940104939756135
ols,x4,0.04208580200117994,0.04027721357093106,0.0034455624391323478,0.005080163465507673
rf,x1,0.7488506479106162,0.7385577793701928,-0.8619650429171202,-0.8680998165527987
rf,x2,0.9131251044470314,0.9283407881784772,1.187150626686166,1.1590881593963716
rf,x3,0.04459356412475799,0.04234844686844072,0.00331690546535771,0.0037365266715124906
rf,x4,0.042609739321076735,0.04017982208167886,0.007347700679940188,0.005628894368765286
