,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,rf_oob_vi,rf_ape,perm_import_train,pdp_range
x1,signal,0.7768971552495862,2,-1.2646991097017035,-0.43007271993942164,beneficial,1.939629676035917,0.8771547451133648,2.3111573029737174,3.1167305792173083
x2,trap,0.790224639636058,1,1.5655783742434386,0.5248589473671588,harmful,3.5645152988673603,1.2466331434702709,4.1694704307350134,5.161856332861207
x3,noise,0.046032267023638086,4,-0.012421279360302335,-0.0038592637956161692,near-zero,0.01678027571714811,0.11110077463039184,0.07606449348181991,0.23398149995607714
x4,noise,0.05240311720541868,3,-0.02176156060189421,-0.006346189071639723,beneficial,0.037396502078646754,0.10290963359774238,0.08757410918006511,0.05242512632516454
