,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range
x1,signal,0.8923341315238131,2,-1.1671501682095222,-0.41109271496356486,beneficial,13.578635231972749,1.0,0.5047013561060254,1.0158801154350479,1.8675921867632777,3.188307864816215
x2,trap,0.9508071507091597,1,1.2253751841726799,0.4300917195267745,harmful,16.977618745750515,1.0,0.628333299177647,1.1350041264868336,3.0852312798176875,3.87949952942855
x3,noise,0.01227384094256529,4,0.010812363018242604,0.003622072268476705,near-zero,0.2103775953501244,0.0,0.007869968118914716,0.013758425208547233,-0.00014732522948124178,0.043831698449393795
x4,noise,0.026318557549766003,3,0.0004055847204051485,0.00028406190440583343,near-zero,0.5459298716402639,0.0,0.02050198205307565,0.03992485843064654,0.0031082699503997687,0.12772023589431442
