dgp,window,model,predictor,M,replicate,pbsv
friedman1,expanding,enet,x4,3,5,-0.23944751965685093
friedman1,expanding,enet,x5,3,5,-0.05398105873995714
friedman1,expanding,enet,x6,3,5,-0.010553559106904772
friedman1,expanding,rf,x1,3,5,-1.3406677224613908
friedman1,expanding,rf,x2,3,5,-1.443030518412958
friedman1,expanding,rf,x3,3,5,-0.001938810294402793
friedman1,expanding,rf,x4,3,5,-0.10147837735447814
friedman1,expanding,rf,x5,3,5,-0.015389565188475118
friedman1,expanding,rf,x6,3,5,-0.0005115476646336455
friedman1,expanding,xgboost,x1,3,5,-1.3990889180737114
friedman1,expanding,xgboost,x2,3,5,-1.605980326470952
friedman1,expanding,xgboost,x3,3,5,-0.030743733636694897
friedman1,expanding,xgboost,x4,3,5,-0.23016129724299852
friedman1,expanding,xgboost,x5,3,5,-0.06139133922207124
friedman1,expanding,xgboost,x6,3,5,-0.006831262411915691
friedman1,expanding,enet,x1,3,6,-1.2409609888201665
friedman1,expanding,enet,x2,3,6,-1.4376674167582155
friedman1,expanding,enet,x3,3,6,0.008625589736930913
friedman1,expanding,enet,x4,3,6,-0.24363587508819484
friedman1,expanding,enet,x5,3,6,-0.05029166624408776
friedman1,expanding,enet,x6,3,6,-0.010461728894423428
friedman1,expanding,rf,x1,3,6,-1.3407279629149944
friedman1,expanding,rf,x2,3,6,-1.4432333439769895
friedman1,expanding,rf,x3,3,6,-0.0015240463037064316
friedman1,expanding,rf,x4,3,6,-0.10191667513679248
friedman1,expanding,rf,x5,3,6,-0.015102165309845317
friedman1,expanding,rf,x6,3,6,-0.000512347734009766
friedman1,expanding,xgboost,x1,3,6,-1.4002538405032794
friedman1,expanding,xgboost,x2,3,6,-1.6093612264377553
friedman1,expanding,xgboost,x3,3,6,-0.02542145450284028
friedman1,expanding,xgboost,x4,3,6,-0.23932588374552544
friedman1,expanding,xgboost,x5,3,6,-0.054224592409319615
friedman1,expanding,xgboost,x6,3,6,-0.005609879459623934
friedman1,expanding,enet,x1,3,7,-1.2803322554401064
friedman1,expanding,enet,x2,3,7,-1.389909679665039
friedman1,expanding,enet,x3,3,7,0.007966969188231329
friedman1,expanding,enet,x4,3,7,-0.26317933252834563
friedman1,expanding,enet,x5,3,7,-0.038389527053312965
friedman1,expanding,enet,x6,3,7,-0.01054826056958443
friedman1,expanding,rf,x1,3,7,-1.3524629479266848
friedman1,expanding,rf,x2,3,7,-1.423459903333115
friedman1,expanding,rf,x3,3,7,-0.0018043790462671423
friedman1,expanding,rf,x4,3,7,-0.11097495893774756
friedman1,expanding,rf,x5,3,7,-0.013822178112631978
friedman1,expanding,rf,x6,3,7,-0.0004921740198918408
friedman1,expanding,xgboost,x1,3,7,-1.4586808554188908
friedman1,expanding,xgboost,x2,3,7,-1.5284837455564275
friedman1,expanding,xgboost,x3,3,7,-0.029040419062882645
friedman1,expanding,xgboost,x4,3,7,-0.2708856233049177
friedman1,expanding,xgboost,x5,3,7,-0.04059712084292464
friedman1,expanding,xgboost,x6,3,7,-0.0065091128723007334
friedman1,expanding,enet,x1,6,0,-1.274966726244876
friedman1,expanding,enet,x2,6,0,-1.395672812488699
friedman1,expanding,enet,x3,6,0,0.008432231520286918
friedman1,expanding,enet,x4,6,0,-0.26542882530862394
friedman1,expanding,enet,x5,6,0,-0.03807450094328252
friedman1,expanding,enet,x6,6,0,-0.008681452602962103
friedman1,expanding,rf,x1,6,0,-1.3515741263157988
friedman1,expanding,rf,x2,6,0,-1.424328267392956
friedman1,expanding,rf,x3,6,0,-0.001634123307822292
friedman1,expanding,rf,x4,6,0,-0.11117413027350172
friedman1,expanding,rf,x5,6,0,-0.013900995095570154
friedman1,expanding,rf,x6,6,0,-0.0004048989906894618
friedman1,expanding,xgboost,x1,6,0,-1.4486962320732768
friedman1,expanding,xgboost,x2,6,0,-1.5370738280867509
friedman1,expanding,xgboost,x3,6,0,-0.026371631123902062
friedman1,expanding,xgboost,x4,6,0,-0.2760903694726903
friedman1,expanding,xgboost,x5,6,0,-0.04060075935122894
friedman1,expanding,xgboost,x6,6,0,-0.005364056950494643
friedman1,expanding,enet,x1,6,1,-1.273242075578897
friedman1,expanding,enet,x2,6,1,-1.411022532220219
friedman1,expanding,enet,x3,6,1,0.008351004324802383
friedman1,expanding,enet,x4,6,1,-0.24751350145913897
friedman1,expanding,enet,x5,6,1,-0.042471486024191187
friedman1,expanding,enet,x6,6,1,-0.008493495110513635
friedman1,expanding,rf,x1,6,1,-1.3481510336858091
friedman1,expanding,rf,x2,6,1,-1.436398406049561
friedman1,expanding,rf,x3,6,1,-0.001564680490054926
friedman1,expanding,rf,x4,6,1,-0.10228893244982638
friedman1,expanding,rf,x5,6,1,-0.01418851843915094
friedman1,expanding,rf,x6,6,1,-0.0004249702619360159
friedman1,expanding,xgboost,x1,6,1,-1.4417276471422564
friedman1,expanding,xgboost,x2,6,1,-1.5670747684706354
friedman1,expanding,xgboost,x3,6,1,-0.02649774489157622
friedman1,expanding,xgboost,x4,6,1,-0.2466728879538268
friedman1,expanding,xgboost,x5,6,1,-0.0471770023969762
friedman1,expanding,xgboost,x6,6,1,-0.0050468262030723965
friedman1,expanding,enet,x1,6,2,-1.253767984482342
friedman1,expanding,enet,x2,6,2,-1.4258891470066681
friedman1,expanding,enet,x3,6,2,0.008660756558255859
friedman1,expanding,enet,x4,6,2,-0.2553153788763558
friedman1,expanding,enet,x5,6,2,-0.038928152148099325
friedman1,expanding,enet,x6,6,2,-0.009152180112947514
friedman1,expanding,rf,x1,6,2,-1.3425155573301975
friedman1,expanding,rf,x2,6,2,-1.4381005579702955
friedman1,expanding,rf,x3,6,2,-0.0015676013998759026
friedman1,expanding,rf,x4,6,2,-0.1066361730060198
friedman1,expanding,rf,x5,6,2,-0.013732459626247492
friedman1,expanding,rf,x6,6,2,-0.0004641920437019609
friedman1,expanding,xgboost,x1,6,2,-1.4157186229751832
friedman1,expanding,xgboost,x2,6,2,-1.5872797574025979
friedman1,expanding,xgboost,x3,6,2,-0.02560342275899404
friedman1,expanding,xgboost,x4,6,2,-0.25920949202550153
friedman1,expanding,xgboost,x5,6,2,-0.0409533130528271
friedman1,expanding,xgboost,x6,6,2,-0.005432268843240208
friedman1,expanding,enet,x1,6,3,-1.2739328215314925
friedman1,expanding,enet,x2,6,3,-1.4110823631675398
friedman1,expanding,enet,x3,6,3,0.007807808683402732
friedman1,expanding,enet,x4,6,3,-0.2456179627554661
friedman1,expanding,enet,x5,6,3,-0.04233774359388746
friedman1,expanding,enet,x6,6,3,-0.009229003703173996
friedman1,expanding,rf,x1,6,3,-1.351415904154875
friedman1,expanding,rf,x2,6,3,-1.4329039524310236
friedman1,expanding,rf,x3,6,3,-0.0018607267969019865
friedman1,expanding,rf,x4,6,3,-0.10207688754549692
friedman1,expanding,rf,x5,6,3,-0.01429877528342203
friedman1,expanding,rf,x6,6,3,-0.00046029516461839243
friedman1,expanding,xgboost,x1,6,3,-1.447872613180821
friedman1,expanding,xgboost,x2,6,3,-1.5659449481048249
friedman1,expanding,xgboost,x3,6,3,-0.02818035388870833
friedman1,expanding,xgboost,x4,6,3,-0.24290056827528292
friedman1,expanding,xgboost,x5,6,3,-0.04416902546479595
friedman1,expanding,xgboost,x6,6,3,-0.00512936814391074
friedman1,expanding,enet,x1,6,4,-1.2615883185546302
friedman1,expanding,enet,x2,6,4,-1.425348321792792
friedman1,expanding,enet,x3,6,4,0.008583215372273781
friedman1,expanding,enet,x4,6,4,-0.24756274557437594
friedman1,expanding,enet,x5,6,4,-0.03865187515371027
friedman1,expanding,enet,x6,6,4,-0.009824040364922126
friedman1,expanding,rf,x1,6,4,-1.3432285973691755
friedman1,expanding,rf,x2,6,4,-1.441700802315235
friedman1,expanding,rf,x3,6,4,-0.0015913523644708143
friedman1,expanding,rf,x4,6,4,-0.10223473804052004
friedman1,expanding,rf,x5,6,4,-0.01379721088009848
friedman1,expanding,rf,x6,6,4,-0.00046384040683844496
friedman1,expanding,xgboost,x1,6,4,-1.4244880771555533
friedman1,expanding,xgboost,x2,6,4,-1.5915963060134104
friedman1,expanding,xgboost,x3,6,4,-0.025985820275300896
friedman1,expanding,xgboost,x4,6,4,-0.2464747700796703
friedman1,expanding,xgboost,x5,6,4,-0.03986180606562456
friedman1,expanding,xgboost,x6,6,4,-0.0057900974687844315
friedman1,expanding,enet,x1,6,5,-1.2652704356333688
friedman1,expanding,enet,x2,6,5,-1.4289826077854944
friedman1,expanding,enet,x3,6,5,0.008743060914148929
friedman1,expanding,enet,x4,6,5,-0.23775018424523878
friedman1,expanding,enet,x5,6,5,-0.040582745685214174
friedman1,expanding,enet,x6,6,5,-0.010549173632989536
friedman1,expanding,rf,x1,6,5,-1.3507933408054764
friedman1,expanding,rf,x2,6,5,-1.4386308279989686
friedman1,expanding,rf,x3,6,5,-0.0014868392006918512
friedman1,expanding,rf,x4,6,5,-0.097642686896477
friedman1,expanding,rf,x5,6,5,-0.013954697645100619
friedman1,expanding,rf,x6,6,5,-0.0005081488296241702
friedman1,expanding,xgboost,x1,6,5,-1.4384466634149033
friedman1,expanding,xgboost,x2,6,5,-1.5914621366863473
friedman1,expanding,xgboost,x3,6,5,-0.025464208469025456
friedman1,expanding,xgboost,x4,6,5,-0.22933196775602097
friedman1,expanding,xgboost,x5,6,5,-0.04392065491625923
friedman1,expanding,xgboost,x6,6,5,-0.005571245815787366
friedman1,expanding,enet,x1,6,6,-1.2795179518478572
friedman1,expanding,enet,x2,6,6,-1.3878435522519357
friedman1,expanding,enet,x3,6,6,0.00853150795033314
friedman1,expanding,enet,x4,6,6,-0.2612718928096434
friedman1,expanding,enet,x5,6,6,-0.04632773100438564
friedman1,expanding,enet,x6,6,6,-0.007962466104668128
friedman1,expanding,rf,x1,6,6,-1.3521499544431252
friedman1,expanding,rf,x2,6,6,-1.4235506890001421
friedman1,expanding,rf,x3,6,6,-0.001520410288710768
friedman1,expanding,rf,x4,6,6,-0.11079147165181902
friedman1,expanding,rf,x5,6,6,-0.014594983962612421
friedman1,expanding,rf,x6,6,6,-0.00040903202992879456
friedman1,expanding,xgboost,x1,6,6,-1.4540775396597916
friedman1,expanding,xgboost,x2,6,6,-1.5312678599249046
friedman1,expanding,xgboost,x3,6,6,-0.02491211005510006
friedman1,expanding,xgboost,x4,6,6,-0.2679796016993363
friedman1,expanding,xgboost,x5,6,6,-0.05122232335915324
friedman1,expanding,xgboost,x6,6,6,-0.004737442360057881
friedman1,expanding,enet,x1,6,7,-1.2605400988697852
friedman1,expanding,enet,x2,6,7,-1.4091652137999484
friedman1,expanding,enet,x3,6,7,0.008967967056492407
friedman1,expanding,enet,x4,6,7,-0.26719988025172836
friedman1,expanding,enet,x5,6,7,-0.036548653698341295
friedman1,expanding,enet,x6,6,7,-0.009906206504846101
friedman1,expanding,rf,x1,6,7,-1.343323514258115
friedman1,expanding,rf,x2,6,7,-1.4328823916608553
friedman1,expanding,rf,x3,6,7,-0.0013910174162666638
friedman1,expanding,rf,x4,6,7,-0.11130756345142961
friedman1,expanding,rf,x5,6,7,-0.013643586871969074
friedman1,expanding,rf,x6,6,7,-0.00046846771770238843
friedman1,expanding,xgboost,x1,6,7,-1.424951455396941
friedman1,expanding,xgboost,x2,6,7,-1.5636404313528471
friedman1,expanding,xgboost,x3,6,7,-0.024081937935026627
friedman1,expanding,xgboost,x4,6,7,-0.2787609578925218
friedman1,expanding,xgboost,x5,6,7,-0.0374098722697413
friedman1,expanding,xgboost,x6,6,7,-0.005352222211266179
friedman1,expanding,enet,x1,8,0,-1.2921314516569862
friedman1,expanding,enet,x2,8,0,-1.3990911930370495
friedman1,expanding,enet,x3,8,0,0.009102213187874908
friedman1,expanding,enet,x4,8,0,-0.2496631729447625
friedman1,expanding,enet,x5,8,0,-0.033522912982670586
friedman1,expanding,enet,x6,8,0,-0.009085568634563085
friedman1,expanding,rf,x1,8,0,-1.355396607781925
friedman1,expanding,rf,x2,8,0,-1.4282518977616347
friedman1,expanding,rf,x3,8,0,-0.0013354173448448664
friedman1,expanding,rf,x4,8,0,-0.10430480398719982
friedman1,expanding,rf,x5,8,0,-0.013269506034596965
friedman1,expanding,rf,x6,8,0,-0.00045830846613666154
friedman1,expanding,xgboost,x1,8,0,-1.4726322699112562
friedman1,expanding,xgboost,x2,8,0,-1.5476654218472343
friedman1,expanding,xgboost,x3,8,0,-0.022938923747724382
friedman1,expanding,xgboost,x4,8,0,-0.2507715069622847
friedman1,expanding,xgboost,x5,8,0,-0.03526793158831806
friedman1,expanding,xgboost,x6,8,0,-0.004920823001526117
friedman1,expanding,enet,x1,8,1,-1.266367403656984
friedman1,expanding,enet,x2,8,1,-1.4082336157840079
friedman1,expanding,enet,x3,8,1,0.008600034508637278
friedman1,expanding,enet,x4,8,1,-0.25393624033520046
friedman1,expanding,enet,x5,8,1,-0.04547278713869067
friedman1,expanding,enet,x6,8,1,-0.008982073661911144
friedman1,expanding,rf,x1,8,1,-1.3470972085591013
friedman1,expanding,rf,x2,8,1,-1.4319608887271347
friedman1,expanding,rf,x3,8,1,-0.0015381056937818355
friedman1,expanding,rf,x4,8,1,-0.107456871558251
friedman1,expanding,rf,x5,8,1,-0.014520265184276737
friedman1,expanding,rf,x6,8,1,-0.00044320165379285736
friedman1,expanding,xgboost,x1,8,1,-1.4342846141252081
friedman1,expanding,xgboost,x2,8,1,-1.562545252603754
friedman1,expanding,xgboost,x3,8,1,-0.02605411918002231
friedman1,expanding,xgboost,x4,8,1,-0.2575811237388278
friedman1,expanding,xgboost,x5,8,1,-0.04877805935604172
friedman1,expanding,xgboost,x6,8,1,-0.00495370805448974
friedman1,expanding,enet,x1,8,2,-1.2721118241482536
friedman1,expanding,enet,x2,8,2,-1.4163442321190012
friedman1,expanding,enet,x3,8,2,0.008681732688206642
friedman1,expanding,enet,x4,8,2,-0.24136422791568235
friedman1,expanding,enet,x5,8,2,-0.04280702147005218
friedman1,expanding,enet,x6,8,2,-0.010446513103374536
friedman1,expanding,rf,x1,8,2,-1.3505521116337849
friedman1,expanding,rf,x2,8,2,-1.4353367791545675
friedman1,expanding,rf,x3,8,2,-0.0015254008466068225
friedman1,expanding,rf,x4,8,2,-0.10091258323129217
friedman1,expanding,rf,x5,8,2,-0.01417135754959735
friedman1,expanding,rf,x6,8,2,-0.0005183089604897106
friedman1,expanding,xgboost,x1,8,2,-1.4466425740199984
friedman1,expanding,xgboost,x2,8,2,-1.5737065740102216
friedman1,expanding,xgboost,x3,8,2,-0.025480690696234973
friedman1,expanding,xgboost,x4,8,2,-0.2364328060456441
friedman1,expanding,xgboost,x5,8,2,-0.045967537630280816
friedman1,expanding,xgboost,x6,8,2,-0.005966694655963743
friedman1,expanding,enet,x1,8,3,-1.282695916150033
friedman1,expanding,enet,x2,8,3,-1.4020520751571457
friedman1,expanding,enet,x3,8,3,0.008688044539110096
friedman1,expanding,enet,x4,8,3,-0.25091087911060567
friedman1,expanding,enet,x5,8,3,-0.0378637200810953
friedman1,expanding,enet,x6,8,3,-0.0095575401083874
friedman1,expanding,rf,x1,8,3,-1.3517106730950548
friedman1,expanding,rf,x2,8,3,-1.4311341467351681
friedman1,expanding,rf,x3,8,3,-0.001488130752028194
friedman1,expanding,rf,x4,8,3,-0.10443137915296122
friedman1,expanding,rf,x5,8,3,-0.013777652038156632
friedman1,expanding,rf,x6,8,3,-0.000474559602969174
friedman1,expanding,xgboost,x1,8,3,-1.4570938518257908
friedman1,expanding,xgboost,x2,8,3,-1.553416186186614
friedman1,expanding,xgboost,x3,8,3,-0.02512170186512455
friedman1,expanding,xgboost,x4,8,3,-0.2528003253960722
friedman1,expanding,xgboost,x5,8,3,-0.04084511793768494
friedman1,expanding,xgboost,x6,8,3,-0.004919693847057302
friedman1,expanding,enet,x1,8,4,-1.2756827231224441
friedman1,expanding,enet,x2,8,4,-1.4086879436880184
friedman1,expanding,enet,x3,8,4,0.008585577660110769
friedman1,expanding,enet,x4,8,4,-0.24341340082858626
friedman1,expanding,enet,x5,8,4,-0.04671891986900076
friedman1,expanding,enet,x6,8,4,-0.008474676220218316
friedman1,expanding,rf,x1,8,4,-1.3508647700043492
friedman1,expanding,rf,x2,8,4,-1.4344008632579155
friedman1,expanding,rf,x3,8,4,-0.001535058212846066
friedman1,expanding,rf,x4,8,4,-0.10106918252970802
friedman1,expanding,rf,x5,8,4,-0.014735659528814615
friedman1,expanding,rf,x6,8,4,-0.0004110078427047581
friedman1,expanding,xgboost,x1,8,4,-1.4484754361495629
friedman1,expanding,xgboost,x2,8,4,-1.5632529879357306
friedman1,expanding,xgboost,x3,8,4,-0.026014049924353633
friedman1,expanding,xgboost,x4,8,4,-0.2405964322278924
friedman1,expanding,xgboost,x5,8,4,-0.05126537543356444
friedman1,expanding,xgboost,x6,8,4,-0.004592595387239752
friedman1,expanding,enet,x1,8,5,-1.2688499172662502
friedman1,expanding,enet,x2,8,5,-1.4160450272934133
friedman1,expanding,enet,x3,8,5,0.008218937938704998
friedman1,expanding,enet,x4,8,5,-0.24364640943589105
friedman1,expanding,enet,x5,8,5,-0.04495619607079533
friedman1,expanding,enet,x6,8,5,-0.00911347394051211
friedman1,expanding,rf,x1,8,5,-1.3499734357224837
friedman1,expanding,rf,x2,8,5,-1.4354225861252747
friedman1,expanding,rf,x3,8,5,-0.0016180542998770336
friedman1,expanding,rf,x4,8,5,-0.10100304713842427
friedman1,expanding,rf,x5,8,5,-0.014563998615303761
friedman1,expanding,rf,x6,8,5,-0.0004354194749746354
friedman1,expanding,xgboost,x1,8,5,-1.4376985052893132
friedman1,expanding,xgboost,x2,8,5,-1.5735294275938652
friedman1,expanding,xgboost,x3,8,5,-0.027641447398806245
friedman1,expanding,xgboost,x4,8,5,-0.23914597801943177
friedman1,expanding,xgboost,x5,8,5,-0.05104124343334037
friedman1,expanding,xgboost,x6,8,5,-0.005140275323587108
friedman1,expanding,enet,x1,8,6,-1.2656778086057692
friedman1,expanding,enet,x2,8,6,-1.411451580504616
friedman1,expanding,enet,x3,8,6,0.007782292538994956
friedman1,expanding,enet,x4,8,6,-0.25263640393651837
friedman1,expanding,enet,x5,8,6,-0.04217127803319812
friedman1,expanding,enet,x6,8,6,-0.01023730752705028
friedman1,expanding,rf,x1,8,6,-1.3472791852979473
friedman1,expanding,rf,x2,8,6,-1.4347407695729655
friedman1,expanding,rf,x3,8,6,-0.0018121933278201635
friedman1,expanding,rf,x4,8,6,-0.10448347775105787
friedman1,expanding,rf,x5,8,6,-0.014260453477830531
friedman1,expanding,rf,x6,8,6,-0.0004404619487169831
friedman1,expanding,xgboost,x1,8,6,-1.4329802395587175
friedman1,expanding,xgboost,x2,8,6,-1.5670040106126306
friedman1,expanding,xgboost,x3,8,6,-0.028707329761816447
friedman1,expanding,xgboost,x4,8,6,-0.25434182509017533
friedman1,expanding,xgboost,x5,8,6,-0.045898210363475855
friedman1,expanding,xgboost,x6,8,6,-0.005265261671527938
friedman1,expanding,enet,x1,8,7,-1.275442137653128
friedman1,expanding,enet,x2,8,7,-1.414746714926523
friedman1,expanding,enet,x3,8,7,0.008079284845121548
friedman1,expanding,enet,x4,8,7,-0.24310845624273464
friedman1,expanding,enet,x5,8,7,-0.04117010529202482
friedman1,expanding,enet,x6,8,7,-0.0080039567988682
friedman1,expanding,rf,x1,8,7,-1.3507825712449837
friedman1,expanding,rf,x2,8,7,-1.4351055457631765
friedman1,expanding,rf,x3,8,7,-0.0017156730488028654
friedman1,expanding,rf,x4,8,7,-0.10099660528421357
friedman1,expanding,rf,x5,8,7,-0.014012771142294905
friedman1,expanding,rf,x6,8,7,-0.0004033748928667785
friedman1,expanding,xgboost,x1,8,7,-1.4470079086641199
friedman1,expanding,xgboost,x2,8,7,-1.5702499327969068
friedman1,expanding,xgboost,x3,8,7,-0.028596445964589233
friedman1,expanding,xgboost,x4,8,7,-0.2384683135849073
friedman1,expanding,xgboost,x5,8,7,-0.045088380808459005
friedman1,expanding,xgboost,x6,8,7,-0.004785895239361321
friedman1,expanding,enet,x1,12,0,-1.2936185512879195
friedman1,expanding,enet,x2,12,0,-1.4110709812875832
friedman1,expanding,enet,x3,12,0,0.008476630312151965
friedman1,expanding,enet,x4,12,0,-0.23651006640563468
friedman1,expanding,enet,x5,12,0,-0.03335942671956422
friedman1,expanding,enet,x6,12,0,-0.00830969067960676
friedman1,expanding,rf,x1,12,0,-1.3571270002444955
friedman1,expanding,rf,x2,12,0,-1.4331100864958295
friedman1,expanding,rf,x3,12,0,-0.001552452102598199
friedman1,expanding,rf,x4,12,0,-0.09759439633004029
friedman1,expanding,rf,x5,12,0,-0.013220029524463542
friedman1,expanding,rf,x6,12,0,-0.0004125766789105552
friedman1,expanding,xgboost,x1,12,0,-1.4734079424712367
friedman1,expanding,xgboost,x2,12,0,-1.56538352584139
friedman1,expanding,xgboost,x3,12,0,-0.026501614439491932
friedman1,expanding,xgboost,x4,12,0,-0.22737916472480355
friedman1,expanding,xgboost,x5,12,0,-0.03677728783351184
friedman1,expanding,xgboost,x6,12,0,-0.004747341747909653
friedman1,expanding,enet,x1,12,1,-1.2813665974384925
friedman1,expanding,enet,x2,12,1,-1.3944842825162789
friedman1,expanding,enet,x3,12,1,0.008563234337598785
friedman1,expanding,enet,x4,12,1,-0.25443049903183906
friedman1,expanding,enet,x5,12,1,-0.04299284425296388
friedman1,expanding,enet,x6,12,1,-0.009681097166181448
friedman1,expanding,rf,x1,12,1,-1.3523650187755745
friedman1,expanding,rf,x2,12,1,-1.4277645992802286
friedman1,expanding,rf,x3,12,1,-0.0015076942277664391
friedman1,expanding,rf,x4,12,1,-0.1065716634570224
friedman1,expanding,rf,x5,12,1,-0.014366594507412586
friedman1,expanding,rf,x6,12,1,-0.0004409711283338928
friedman1,expanding,xgboost,x1,12,1,-1.456399029911913
friedman1,expanding,xgboost,x2,12,1,-1.5417773721991308
friedman1,expanding,xgboost,x3,12,1,-0.0253474774090262
friedman1,expanding,xgboost,x4,12,1,-0.2580340866986856
friedman1,expanding,xgboost,x5,12,1,-0.047888601718031255
friedman1,expanding,xgboost,x6,12,1,-0.004750309121557189
friedman1,expanding,enet,x1,12,2,-1.2688764652707534
friedman1,expanding,enet,x2,12,2,-1.3923033576266803
