dgp,window,model,predictor,M,replicate,pbsv
friedman1,rolling,enet,x5,3,5,-0.055128337238004886
friedman1,rolling,enet,x6,3,5,-0.010486886291930583
friedman1,rolling,rf,x1,3,5,-1.3555989596360323
friedman1,rolling,rf,x2,3,5,-1.3852575601389958
friedman1,rolling,rf,x3,3,5,-0.010761747071712846
friedman1,rolling,rf,x4,3,5,-0.10617281945092649
friedman1,rolling,rf,x5,3,5,-0.01812025867268145
friedman1,rolling,rf,x6,3,5,-0.0030164254438111624
friedman1,rolling,xgboost,x1,3,5,-1.4182185113767496
friedman1,rolling,xgboost,x2,3,5,-1.5556031151151082
friedman1,rolling,xgboost,x3,3,5,-0.02399457676112815
friedman1,rolling,xgboost,x4,3,5,-0.2290408887694454
friedman1,rolling,xgboost,x5,3,5,-0.04958595868494727
friedman1,rolling,xgboost,x6,3,5,-0.007189335739789508
friedman1,rolling,enet,x1,3,6,-1.2730504150000874
friedman1,rolling,enet,x2,3,6,-1.4539731942046112
friedman1,rolling,enet,x3,3,6,0.014347597012400218
friedman1,rolling,enet,x4,3,6,-0.2443588639193226
friedman1,rolling,enet,x5,3,6,-0.05073510379643372
friedman1,rolling,enet,x6,3,6,-0.009872464819564608
friedman1,rolling,rf,x1,3,6,-1.3559500562361577
friedman1,rolling,rf,x2,3,6,-1.3850358877893687
friedman1,rolling,rf,x3,3,6,-0.011014367722672502
friedman1,rolling,rf,x4,3,6,-0.10614123925242573
friedman1,rolling,rf,x5,3,6,-0.017553654362545117
friedman1,rolling,rf,x6,3,6,-0.0032325650509903436
friedman1,rolling,xgboost,x1,3,6,-1.419283100816615
friedman1,rolling,xgboost,x2,3,6,-1.5555288168204753
friedman1,rolling,xgboost,x3,3,6,-0.021487419913832295
friedman1,rolling,xgboost,x4,3,6,-0.23356366480790328
friedman1,rolling,xgboost,x5,3,6,-0.04609782619115099
friedman1,rolling,xgboost,x6,3,6,-0.00767155789719165
friedman1,rolling,enet,x1,3,7,-1.3120803428220447
friedman1,rolling,enet,x2,3,7,-1.408747001268419
friedman1,rolling,enet,x3,3,7,0.014139243365311768
friedman1,rolling,enet,x4,3,7,-0.2631469985105002
friedman1,rolling,enet,x5,3,7,-0.037346267831005996
friedman1,rolling,enet,x6,3,7,-0.010461077660961382
friedman1,rolling,rf,x1,3,7,-1.3728444843397292
friedman1,rolling,rf,x2,3,7,-1.3596436530330305
friedman1,rolling,rf,x3,3,7,-0.011480086936966486
friedman1,rolling,rf,x4,3,7,-0.11704689799247407
friedman1,rolling,rf,x5,3,7,-0.01482781370586054
friedman1,rolling,rf,x6,3,7,-0.0030848344060994495
friedman1,rolling,xgboost,x1,3,7,-1.4654004689084805
friedman1,rolling,xgboost,x2,3,7,-1.4888227925459683
friedman1,rolling,xgboost,x3,3,7,-0.023317241564485558
friedman1,rolling,xgboost,x4,3,7,-0.2625358864031183
friedman1,rolling,xgboost,x5,3,7,-0.03587623178636775
friedman1,rolling,xgboost,x6,3,7,-0.007679765238747934
friedman1,rolling,enet,x1,6,0,-1.306643494912473
friedman1,rolling,enet,x2,6,0,-1.4143469663552815
friedman1,rolling,enet,x3,6,0,0.01454678801383269
friedman1,rolling,enet,x4,6,0,-0.2659859386820906
friedman1,rolling,enet,x5,6,0,-0.03666829740249533
friedman1,rolling,enet,x6,6,0,-0.008544535389111652
friedman1,rolling,rf,x1,6,0,-1.371337054439622
friedman1,rolling,rf,x2,6,0,-1.3617240772643378
friedman1,rolling,rf,x3,6,0,-0.011462207940168797
friedman1,rolling,rf,x4,6,0,-0.11688802361156121
friedman1,rolling,rf,x5,6,0,-0.014902467344389917
friedman1,rolling,rf,x6,6,0,-0.0026139398140806827
friedman1,rolling,xgboost,x1,6,0,-1.4606703278320499
friedman1,rolling,xgboost,x2,6,0,-1.494988005557267
friedman1,rolling,xgboost,x3,6,0,-0.02210118379613411
friedman1,rolling,xgboost,x4,6,0,-0.264912558793877
friedman1,rolling,xgboost,x5,6,0,-0.034994635356404846
friedman1,rolling,xgboost,x6,6,0,-0.005965675111435216
friedman1,rolling,enet,x1,6,1,-1.3058970009257473
friedman1,rolling,enet,x2,6,1,-1.4263209338717822
friedman1,rolling,enet,x3,6,1,0.013750883529101643
friedman1,rolling,enet,x4,6,1,-0.249275606688927
friedman1,rolling,enet,x5,6,1,-0.042054601041723226
friedman1,rolling,enet,x6,6,1,-0.007845185728541279
friedman1,rolling,rf,x1,6,1,-1.3688911336587293
friedman1,rolling,rf,x2,6,1,-1.375335535097669
friedman1,rolling,rf,x3,6,1,-0.010648773691429728
friedman1,rolling,rf,x4,6,1,-0.10630748393103932
friedman1,rolling,rf,x5,6,1,-0.0152216172061553
friedman1,rolling,rf,x6,6,1,-0.0025232268291373594
friedman1,rolling,xgboost,x1,6,1,-1.4546158619306853
friedman1,rolling,xgboost,x2,6,1,-1.523282597816898
friedman1,rolling,xgboost,x3,6,1,-0.02282593615005733
friedman1,rolling,xgboost,x4,6,1,-0.23847053003854587
friedman1,rolling,xgboost,x5,6,1,-0.03884984124147794
friedman1,rolling,xgboost,x6,6,1,-0.005587619269504009
friedman1,rolling,enet,x1,6,2,-1.2861593731398215
friedman1,rolling,enet,x2,6,2,-1.44298809506854
friedman1,rolling,enet,x3,6,2,0.014409391073007372
friedman1,rolling,enet,x4,6,2,-0.25638967456146383
friedman1,rolling,enet,x5,6,2,-0.03800049859392766
friedman1,rolling,enet,x6,6,2,-0.008514194436873937
friedman1,rolling,rf,x1,6,2,-1.3598824478462872
friedman1,rolling,rf,x2,6,2,-1.3788729585946695
friedman1,rolling,rf,x3,6,2,-0.011067925904905204
friedman1,rolling,rf,x4,6,2,-0.11159847321109363
friedman1,rolling,rf,x5,6,2,-0.014737433661156226
friedman1,rolling,rf,x6,6,2,-0.002768531196048677
friedman1,rolling,xgboost,x1,6,2,-1.4323988901127418
friedman1,rolling,xgboost,x2,6,2,-1.5389558137584174
friedman1,rolling,xgboost,x3,6,2,-0.021856682148334916
friedman1,rolling,xgboost,x4,6,2,-0.24988673230116584
friedman1,rolling,xgboost,x5,6,2,-0.034367838514496374
friedman1,rolling,xgboost,x6,6,2,-0.006166429612012053
friedman1,rolling,enet,x1,6,3,-1.3059259207674139
