dgp,window,model,predictor,M,replicate,pbsv
threshold,rolling,rf,x3,3,5,-0.005853077777639548
threshold,rolling,rf,x4,3,5,0.004970973643141659
threshold,rolling,rf,x5,3,5,-0.01793486877134683
threshold,rolling,rf,x6,3,5,-0.0025489744572217234
threshold,rolling,xgboost,x1,3,5,-0.6893068508240984
threshold,rolling,xgboost,x2,3,5,-1.207931628410191
threshold,rolling,xgboost,x3,3,5,-0.008478507409428978
threshold,rolling,xgboost,x4,3,5,0.02134280077843716
threshold,rolling,xgboost,x5,3,5,-0.05736577597129888
threshold,rolling,xgboost,x6,3,5,0.0022767677522919825
threshold,rolling,enet,x1,3,6,0.023942619583748954
threshold,rolling,enet,x2,3,6,-0.5114200247249298
threshold,rolling,enet,x3,3,6,0.002926606219423681
threshold,rolling,enet,x4,3,6,0.02725521194155685
threshold,rolling,enet,x5,3,6,-0.004880392052716287
threshold,rolling,enet,x6,3,6,0.02070174637126132
threshold,rolling,rf,x1,3,6,-0.6302550018610997
threshold,rolling,rf,x2,3,6,-1.2035833133755838
threshold,rolling,rf,x3,3,6,-0.0025015091250419155
threshold,rolling,rf,x4,3,6,0.005391516325035613
threshold,rolling,rf,x5,3,6,-0.0186503295260713
threshold,rolling,rf,x6,3,6,-0.002918756252598964
threshold,rolling,xgboost,x1,3,6,-0.6914220693786032
threshold,rolling,xgboost,x2,3,6,-1.206039553407429
threshold,rolling,xgboost,x3,3,6,-0.008563214056384568
threshold,rolling,xgboost,x4,3,6,0.019666084616676665
threshold,rolling,xgboost,x5,3,6,-0.05505978863777513
threshold,rolling,xgboost,x6,3,6,0.0019553467792272627
threshold,rolling,enet,x1,3,7,0.024037033853485212
threshold,rolling,enet,x2,3,7,-0.5114840268864558
threshold,rolling,enet,x3,3,7,0.0027921837291028004
threshold,rolling,enet,x4,3,7,0.027324511202606667
threshold,rolling,enet,x5,3,7,-0.004903802896617959
threshold,rolling,enet,x6,3,7,0.02075986833622386
threshold,rolling,rf,x1,3,7,-0.6370410760694765
threshold,rolling,rf,x2,3,7,-1.196589907156657
threshold,rolling,rf,x3,3,7,-0.005341378945322568
threshold,rolling,rf,x4,3,7,0.007543710514449205
threshold,rolling,rf,x5,3,7,-0.018408752470587892
threshold,rolling,rf,x6,3,7,-0.0026799896877653198
threshold,rolling,xgboost,x1,3,7,-0.6822311711705455
threshold,rolling,xgboost,x2,3,7,-1.2168016321210844
threshold,rolling,xgboost,x3,3,7,-0.010999128003680156
threshold,rolling,xgboost,x4,3,7,0.02373983531356331
threshold,rolling,xgboost,x5,3,7,-0.05552180054777497
threshold,rolling,xgboost,x6,3,7,0.002350702445233684
threshold,rolling,enet,x1,6,0,0.024024187002536907
threshold,rolling,enet,x2,6,0,-0.511548283421052
threshold,rolling,enet,x3,6,0,0.002885636362162399
threshold,rolling,enet,x4,6,0,0.027308790451122816
threshold,rolling,enet,x5,6,0,-0.004917510012916515
threshold,rolling,enet,x6,6,0,0.020772946956491196
threshold,rolling,rf,x1,6,0,-0.6327540947656206
threshold,rolling,rf,x2,6,0,-1.2012983207365693
threshold,rolling,rf,x3,6,0,-0.0040506231717545305
threshold,rolling,rf,x4,6,0,0.008018237190621632
threshold,rolling,rf,x5,6,0,-0.01848939354119557
threshold,rolling,rf,x6,6,0,-0.0039431987908417065
threshold,rolling,xgboost,x1,6,0,-0.6850008577714126
threshold,rolling,xgboost,x2,6,0,-1.2176309825343137
threshold,rolling,xgboost,x3,6,0,-0.009854227102306249
threshold,rolling,xgboost,x4,6,0,0.023332262584018253
threshold,rolling,xgboost,x5,6,0,-0.05691362080607939
threshold,rolling,xgboost,x6,6,0,0.00660423154580551
threshold,rolling,enet,x1,6,1,0.023999223901119266
threshold,rolling,enet,x2,6,1,-0.5114760732898316
threshold,rolling,enet,x3,6,1,0.0028511156612127664
threshold,rolling,enet,x4,6,1,0.027247236924536938
threshold,rolling,enet,x5,6,1,-0.004899963020206825
threshold,rolling,enet,x6,6,1,0.020804227161514272
threshold,rolling,rf,x1,6,1,-0.6360333827741488
threshold,rolling,rf,x2,6,1,-1.1985867637257
threshold,rolling,rf,x3,6,1,-0.0021022678650818674
threshold,rolling,rf,x4,6,1,0.005919793565624887
threshold,rolling,rf,x5,6,1,-0.0181773630404725
threshold,rolling,rf,x6,6,1,-0.0035374099755816437
threshold,rolling,xgboost,x1,6,1,-0.6881342521230457
threshold,rolling,xgboost,x2,6,1,-1.2105937110435498
threshold,rolling,xgboost,x3,6,1,-0.009572232368486477
threshold,rolling,xgboost,x4,6,1,0.019165619570968923
threshold,rolling,xgboost,x5,6,1,-0.056361036448944635
threshold,rolling,xgboost,x6,6,1,0.006032418328769366
threshold,rolling,enet,x1,6,2,0.023986913498695677
threshold,rolling,enet,x2,6,2,-0.5115468805949063
threshold,rolling,enet,x3,6,2,0.002924177319097776
threshold,rolling,enet,x4,6,2,0.02729698204423181
threshold,rolling,enet,x5,6,2,-0.004915647487197343
threshold,rolling,enet,x6,6,2,0.020780222558423083
threshold,rolling,rf,x1,6,2,-0.6353582665887516
threshold,rolling,rf,x2,6,2,-1.2001350744071335
threshold,rolling,rf,x3,6,2,-0.002417519042393401
threshold,rolling,rf,x4,6,2,0.006610913796177509
threshold,rolling,rf,x5,6,2,-0.01785003051331091
threshold,rolling,rf,x6,6,2,-0.0033674170599481044
threshold,rolling,xgboost,x1,6,2,-0.6860664523634387
threshold,rolling,xgboost,x2,6,2,-1.2138042497652306
threshold,rolling,xgboost,x3,6,2,-0.009558501260091426
threshold,rolling,xgboost,x4,6,2,0.022116985339166173
threshold,rolling,xgboost,x5,6,2,-0.05662884190310905
threshold,rolling,xgboost,x6,6,2,0.004477865868415291
threshold,rolling,enet,x1,6,3,0.024058385598005477
threshold,rolling,enet,x2,6,3,-0.5115056883849888
threshold,rolling,enet,x3,6,3,0.002896910116254481
threshold,rolling,enet,x4,6,3,0.02725671822696807
threshold,rolling,enet,x5,6,3,-0.0049156624509282265
threshold,rolling,enet,x6,6,3,0.02073510423303393
threshold,rolling,rf,x1,6,3,-0.63117041596813
threshold,rolling,rf,x2,6,3,-1.1989748959174966
threshold,rolling,rf,x3,6,3,-0.006182861124701233
threshold,rolling,rf,x4,6,3,0.005939960958705082
threshold,rolling,rf,x5,6,3,-0.018458226163063213
threshold,rolling,rf,x6,6,3,-0.0036709556006742083
threshold,rolling,xgboost,x1,6,3,-0.6849273105162905
threshold,rolling,xgboost,x2,6,3,-1.215043683057762
threshold,rolling,xgboost,x3,6,3,-0.008166301747790206
threshold,rolling,xgboost,x4,6,3,0.02010315914955881
threshold,rolling,xgboost,x5,6,3,-0.056033299279183914
threshold,rolling,xgboost,x6,6,3,0.004604241367179666
threshold,rolling,enet,x1,6,4,0.023960217546637835
threshold,rolling,enet,x2,6,4,-0.511431160257967
threshold,rolling,enet,x3,6,4,0.0029352817092861785
threshold,rolling,enet,x4,6,4,0.02723289579608416
threshold,rolling,enet,x5,6,4,-0.00494993782112992
threshold,rolling,enet,x6,6,4,0.020778470365433493
threshold,rolling,rf,x1,6,4,-0.6349354468810261
threshold,rolling,rf,x2,6,4,-1.2002340848907167
threshold,rolling,rf,x3,6,4,-0.002577941744451103
threshold,rolling,rf,x4,6,4,0.006034450699605472
threshold,rolling,rf,x5,6,4,-0.01784685624345465
threshold,rolling,rf,x6,6,4,-0.0029575147553170997
threshold,rolling,xgboost,x1,6,4,-0.6903184968655891
threshold,rolling,xgboost,x2,6,4,-1.2057914884817453
threshold,rolling,xgboost,x3,6,4,-0.009150187471970642
threshold,rolling,xgboost,x4,6,4,0.01898004843130922
threshold,rolling,xgboost,x5,6,4,-0.05681788191305296
threshold,rolling,xgboost,x6,6,4,0.003634812216760689
threshold,rolling,enet,x1,6,5,0.024041670924362452
threshold,rolling,enet,x2,6,5,-0.5115314513229342
threshold,rolling,enet,x3,6,5,0.002991478840342491
threshold,rolling,enet,x4,6,5,0.027219214952147446
threshold,rolling,enet,x5,6,5,-0.00492686519613487
threshold,rolling,enet,x6,6,5,0.020731719140561527
threshold,rolling,rf,x1,6,5,-0.6336040225708995
threshold,rolling,rf,x2,6,5,-1.2028225117581515
threshold,rolling,rf,x3,6,5,-0.0006618038606636123
threshold,rolling,rf,x4,6,5,0.0052832345751141485
threshold,rolling,rf,x5,6,5,-0.017903411869890345
threshold,rolling,rf,x6,6,5,-0.002808878330869439
threshold,rolling,xgboost,x1,6,5,-0.6836156710976907
threshold,rolling,xgboost,x2,6,5,-1.2103957474259592
threshold,rolling,xgboost,x3,6,5,-0.009360903523206324
