dgp,window,model,predictor,M,replicate,pbsv
polynomial,rolling,enet,x5,3,5,0.0032565839287359566
polynomial,rolling,enet,x6,3,5,0.01074911474147644
polynomial,rolling,rf,x1,3,5,-0.5543609135262894
polynomial,rolling,rf,x2,3,5,-0.3656054016062749
polynomial,rolling,rf,x3,3,5,-1.0332704899156335
polynomial,rolling,rf,x4,3,5,0.0005382072710728991
polynomial,rolling,rf,x5,3,5,-0.0020356153565910993
polynomial,rolling,rf,x6,3,5,0.0013767532612414257
polynomial,rolling,xgboost,x1,3,5,-0.8281793876904086
polynomial,rolling,xgboost,x2,3,5,-0.5397600604903462
polynomial,rolling,xgboost,x3,3,5,-1.4345309411863203
polynomial,rolling,xgboost,x4,3,5,-0.0009077299994135016
polynomial,rolling,xgboost,x5,3,5,-0.00023335921811229454
polynomial,rolling,xgboost,x6,3,5,0.005798111125964771
polynomial,rolling,enet,x1,3,6,0.008767416510896556
polynomial,rolling,enet,x2,3,6,0.028414714122906453
polynomial,rolling,enet,x3,3,6,-1.032233822838364
polynomial,rolling,enet,x4,3,6,0.0034541322538288455
polynomial,rolling,enet,x5,3,6,0.003306309940230623
polynomial,rolling,enet,x6,3,6,0.010692350467854661
polynomial,rolling,rf,x1,3,6,-0.5542811075154775
polynomial,rolling,rf,x2,3,6,-0.3703896731491994
polynomial,rolling,rf,x3,3,6,-1.0277333890956606
polynomial,rolling,rf,x4,3,6,-4.723611573731468e-05
polynomial,rolling,rf,x5,3,6,-0.0019964029337537306
polynomial,rolling,rf,x6,3,6,0.0010903489373537134
polynomial,rolling,xgboost,x1,3,6,-0.8272322481347412
polynomial,rolling,xgboost,x2,3,6,-0.5734149987951411
polynomial,rolling,xgboost,x3,3,6,-1.4066671323466842
polynomial,rolling,xgboost,x4,3,6,-4.2491164520264135e-05
polynomial,rolling,xgboost,x5,3,6,0.0007367406081005464
polynomial,rolling,xgboost,x6,3,6,0.008806762374350185
polynomial,rolling,enet,x1,3,7,0.0086111798279734
polynomial,rolling,enet,x2,3,7,0.028370126912508137
polynomial,rolling,enet,x3,3,7,-1.0321474487340243
polynomial,rolling,enet,x4,3,7,0.003480212987172049
polynomial,rolling,enet,x5,3,7,0.003375252537476244
polynomial,rolling,enet,x6,3,7,0.010711776926247474
polynomial,rolling,rf,x1,3,7,-0.5629142323034372
polynomial,rolling,rf,x2,3,7,-0.3562081513962097
polynomial,rolling,rf,x3,3,7,-1.0328847514866009
polynomial,rolling,rf,x4,3,7,-0.0006596271361301772
polynomial,rolling,rf,x5,3,7,-0.0021007251289491733
polynomial,rolling,rf,x6,3,7,0.0014100275788520762
polynomial,rolling,xgboost,x1,3,7,-0.8896605507750696
polynomial,rolling,xgboost,x2,3,7,-0.4808642114023589
polynomial,rolling,xgboost,x3,3,7,-1.4336323125526305
polynomial,rolling,xgboost,x4,3,7,-0.0014604130077030912
polynomial,rolling,xgboost,x5,3,7,0.0002556777538670711
polynomial,rolling,xgboost,x6,3,7,0.0075484425252587695
polynomial,rolling,enet,x1,6,0,0.008609995429667413
polynomial,rolling,enet,x2,6,0,0.028378161794059758
polynomial,rolling,enet,x3,6,0,-1.0323040450039325
polynomial,rolling,enet,x4,6,0,0.0036528754947389532
polynomial,rolling,enet,x5,6,0,0.003326694162944658
polynomial,rolling,enet,x6,6,0,0.010737418579874758
polynomial,rolling,rf,x1,6,0,-0.5585198456719664
polynomial,rolling,rf,x2,6,0,-0.36292944131892885
polynomial,rolling,rf,x3,6,0,-1.0300166459510338
polynomial,rolling,rf,x4,6,0,-0.001164674419898426
polynomial,rolling,rf,x5,6,0,-0.0021521925134190267
polynomial,rolling,rf,x6,6,0,0.0014253400027717615
polynomial,rolling,xgboost,x1,6,0,-0.8588742508233785
polynomial,rolling,xgboost,x2,6,0,-0.5245126836673998
polynomial,rolling,xgboost,x3,6,0,-1.4212562597284357
polynomial,rolling,xgboost,x4,6,0,-0.0013308169793938562
polynomial,rolling,xgboost,x5,6,0,0.0010176000632703779
polynomial,rolling,xgboost,x6,6,0,0.007143043676701229
polynomial,rolling,enet,x1,6,1,0.008326426489088027
polynomial,rolling,enet,x2,6,1,0.028360359578730177
polynomial,rolling,enet,x3,6,1,-1.0319325859015989
polynomial,rolling,enet,x4,6,1,0.0035446236484515023
polynomial,rolling,enet,x5,6,1,0.0033733185474842755
polynomial,rolling,enet,x6,6,1,0.01072895809519799
polynomial,rolling,rf,x1,6,1,-0.5604645743953989
polynomial,rolling,rf,x2,6,1,-0.3630851310035574
polynomial,rolling,rf,x3,6,1,-1.0285569617110193
polynomial,rolling,rf,x4,6,1,-0.0006467669832433224
polynomial,rolling,rf,x5,6,1,-0.002050464655073007
polynomial,rolling,rf,x6,6,1,0.001446438875817006
polynomial,rolling,xgboost,x1,6,1,-0.8718555849321022
polynomial,rolling,xgboost,x2,6,1,-0.5254306815577428
polynomial,rolling,xgboost,x3,6,1,-1.4051192300754292
polynomial,rolling,xgboost,x4,6,1,-0.0010955692677538191
polynomial,rolling,xgboost,x5,6,1,7.312031903513223e-05
polynomial,rolling,xgboost,x6,6,1,0.005614578055356774
polynomial,rolling,enet,x1,6,2,0.008682871606504161
polynomial,rolling,enet,x2,6,2,0.028398737417749936
polynomial,rolling,enet,x3,6,2,-1.0321387907218071
polynomial,rolling,enet,x4,6,2,0.0034782909486824978
polynomial,rolling,enet,x5,6,2,0.003258973095012626
polynomial,rolling,enet,x6,6,2,0.010721018111210992
polynomial,rolling,rf,x1,6,2,-0.5583408952650233
polynomial,rolling,rf,x2,6,2,-0.365693099508338
polynomial,rolling,rf,x3,6,2,-1.0279173504480925
polynomial,rolling,rf,x4,6,2,-0.0005349650584968169
polynomial,rolling,rf,x5,6,2,-0.002130708473034056
polynomial,rolling,rf,x6,6,2,0.0012595588805100293
polynomial,rolling,xgboost,x1,6,2,-0.8595585640516954
polynomial,rolling,xgboost,x2,6,2,-0.5398956872733773
polynomial,rolling,xgboost,x3,6,2,-1.4055488407801278
polynomial,rolling,xgboost,x4,6,2,-0.0012106653630480357
polynomial,rolling,xgboost,x5,6,2,0.002226832334768688
polynomial,rolling,xgboost,x6,6,2,0.00617355767484377
polynomial,rolling,enet,x1,6,3,0.008602256314448812
polynomial,rolling,enet,x2,6,3,0.02839979141098925
polynomial,rolling,enet,x3,6,3,-1.0321115365961357
polynomial,rolling,enet,x4,6,3,0.0034490481394857295
polynomial,rolling,enet,x5,6,3,0.0033361714180374
polynomial,rolling,enet,x6,6,3,0.010725369770527404
polynomial,rolling,rf,x1,6,3,-0.5564867007189792
polynomial,rolling,rf,x2,6,3,-0.36335485338247553
polynomial,rolling,rf,x3,6,3,-1.0322729111366256
polynomial,rolling,rf,x4,6,3,-0.0003139045459426744
polynomial,rolling,rf,x5,6,3,-0.002164264361892987
polynomial,rolling,rf,x6,6,3,0.0012351742734412936
polynomial,rolling,xgboost,x1,6,3,-0.8432969453630846
polynomial,rolling,xgboost,x2,6,3,-0.5266163909351835
polynomial,rolling,xgboost,x3,6,3,-1.4360512322111527
polynomial,rolling,xgboost,x4,6,3,-0.0006877795547475992
polynomial,rolling,xgboost,x5,6,3,0.001316409637585762
polynomial,rolling,xgboost,x6,6,3,0.007522570967946766
polynomial,rolling,enet,x1,6,4,0.008568939628225322
polynomial,rolling,enet,x2,6,4,0.028378780853893226
polynomial,rolling,enet,x3,6,4,-1.0320813318374815
polynomial,rolling,enet,x4,6,4,0.003474087348102987
polynomial,rolling,enet,x5,6,4,0.0033522311241800753
polynomial,rolling,enet,x6,6,4,0.010708393340432906
polynomial,rolling,rf,x1,6,4,-0.5584496944577958
polynomial,rolling,rf,x2,6,4,-0.36562546480335395
polynomial,rolling,rf,x3,6,4,-1.0276389967870418
polynomial,rolling,rf,x4,6,4,-0.0006460936516009541
polynomial,rolling,rf,x5,6,4,-0.002138636729731321
polynomial,rolling,rf,x6,6,4,0.0011414265570491855
polynomial,rolling,xgboost,x1,6,4,-0.8569154418628275
polynomial,rolling,xgboost,x2,6,4,-0.5415816143154976
polynomial,rolling,xgboost,x3,6,4,-1.405752402813263
polynomial,rolling,xgboost,x4,6,4,-0.0014561952199316774
polynomial,rolling,xgboost,x5,6,4,0.0010336435494267733
polynomial,rolling,xgboost,x6,6,4,0.006858643203456934
polynomial,rolling,enet,x1,6,5,0.00860948274977628
polynomial,rolling,enet,x2,6,5,0.0283909431027561
polynomial,rolling,enet,x3,6,5,-1.0319640424797571
polynomial,rolling,enet,x4,6,5,0.003303854835516503
polynomial,rolling,enet,x5,6,5,0.0033589958274741574
polynomial,rolling,enet,x6,6,5,0.010701866421586955
polynomial,rolling,rf,x1,6,5,-0.558541121151183
polynomial,rolling,rf,x2,6,5,-0.36780450290750427
polynomial,rolling,rf,x3,6,5,-1.0262460663617419
polynomial,rolling,rf,x4,6,5,4.762116916364375e-05
polynomial,rolling,rf,x5,6,5,-0.0020642250307342977
polynomial,rolling,rf,x6,6,5,0.0012508344095251145
polynomial,rolling,xgboost,x1,6,5,-0.859404276708292
polynomial,rolling,xgboost,x2,6,5,-0.5547055194607499
polynomial,rolling,xgboost,x3,6,5,-1.391001440551179
polynomial,rolling,xgboost,x4,6,5,-0.000976737091589371
polynomial,rolling,xgboost,x5,6,5,8.114725094580481e-05
polynomial,rolling,xgboost,x6,6,5,0.008193459102228498
polynomial,rolling,enet,x1,6,6,0.008749037480249763
polynomial,rolling,enet,x2,6,6,0.02839676983258514
polynomial,rolling,enet,x3,6,6,-1.0322073183422442
polynomial,rolling,enet,x4,6,6,0.003466533522946569
polynomial,rolling,enet,x5,6,6,0.0032589503541800755
polynomial,rolling,enet,x6,6,6,0.010737127609635744
polynomial,rolling,rf,x1,6,6,-0.5590033339311714
polynomial,rolling,rf,x2,6,6,-0.36534442676323203
polynomial,rolling,rf,x3,6,6,-1.0276350465333384
polynomial,rolling,rf,x4,6,6,-0.0006420621863020651
polynomial,rolling,rf,x5,6,6,-0.002110553756801581
polynomial,rolling,rf,x6,6,6,0.001377963298370884
polynomial,rolling,xgboost,x1,6,6,-0.8568396604927425
polynomial,rolling,xgboost,x2,6,6,-0.5381258307402567
polynomial,rolling,xgboost,x3,6,6,-1.4070523046959982
polynomial,rolling,xgboost,x4,6,6,-0.0010364743575704456
polynomial,rolling,xgboost,x5,6,6,0.0009005140994519101
polynomial,rolling,xgboost,x6,6,6,0.004340388728479712
polynomial,rolling,enet,x1,6,7,0.008557640284258095
polynomial,rolling,enet,x2,6,7,0.02836746428636505
polynomial,rolling,enet,x3,6,7,-1.032152426644389
polynomial,rolling,enet,x4,6,7,0.003547648520982438
polynomial,rolling,enet,x5,6,7,0.003363113527771485
polynomial,rolling,enet,x6,6,7,0.010717660482364963
polynomial,rolling,rf,x1,6,7,-0.5603439747205089
polynomial,rolling,rf,x2,6,7,-0.36546188615461456
polynomial,rolling,rf,x3,6,7,-1.0259034137223155
polynomial,rolling,rf,x4,6,7,-0.0007942011841864938
polynomial,rolling,rf,x5,6,7,-0.002194993865225555
polynomial,rolling,rf,x6,6,7,0.001341009774376271
polynomial,rolling,xgboost,x1,6,7,-0.873915913919611
polynomial,rolling,xgboost,x2,6,7,-0.539334001934745
polynomial,rolling,xgboost,x3,6,7,-1.391508041467454
polynomial,rolling,xgboost,x4,6,7,-0.0024151166015414414
polynomial,rolling,xgboost,x5,6,7,0.0015935226662003494
polynomial,rolling,xgboost,x6,6,7,0.007766183798514866
polynomial,rolling,enet,x1,8,0,0.008562071247429665
polynomial,rolling,enet,x2,8,0,0.028388619056242098
polynomial,rolling,enet,x3,8,0,-1.0322992101770656
polynomial,rolling,enet,x4,8,0,0.0036471322156658714
polynomial,rolling,enet,x5,8,0,0.003367368652906072
polynomial,rolling,enet,x6,8,0,0.01073511946217498
