dgp,window,model,predictor,M,mean,std,q_low,q_high
polynomial,rolling,enet,x1,3,0.00866715500845124,9.819916980052458e-05,0.008590114792651113,0.008734040060763566
polynomial,rolling,enet,x1,6,0.008588331247777234,0.00012293266197043243,0.008558996205534162,0.008674126465283752
polynomial,rolling,enet,x1,8,0.008532204530427513,9.43771944162768e-05,0.008433497980743405,0.008608656580299722
polynomial,rolling,enet,x1,12,0.008583261015338564,6.692435205288775e-05,0.008515761176282511,0.008625557003500069
polynomial,rolling,enet,x1,18,0.008582528967669305,3.363366352848612e-05,0.008542689982726448,0.008612139577087556
polynomial,rolling,enet,x1,30,0.008588722573268266,3.2458458715280556e-05,0.00858367672083319,0.008600236074265067
polynomial,rolling,enet,x1,40,0.008577197784836432,2.4243381685712582e-05,0.008558894260455424,0.008597755551437103
polynomial,rolling,enet,x1,60,0.008591431386705862,2.5606982424814546e-05,0.008581570588257745,0.00861151838863593
polynomial,rolling,enet,x1,80,0.008574681443442481,2.205717321802706e-05,0.008553511893630149,0.008594265965381386
polynomial,rolling,enet,x1,100,0.008568809675653776,2.1333229413066215e-05,0.008550768455928736,0.008583688804354079
polynomial,rolling,enet,x1,200,0.008571691051680323,1.4582358714681601e-05,0.008559327110466863,0.00858580242339658
polynomial,rolling,enet,x1,500,0.008577915016548232,1.590193486815182e-05,0.00855982421612218,0.008589163282289074
polynomial,rolling,enet,x1,1000,0.00857575725005624,7.0264921941286396e-06,0.008569651737277003,0.008583524861431173
polynomial,rolling,enet,x2,3,0.02839055353448684,1.8517950232674795e-05,0.02837121496008763,0.02841275510681402
polynomial,rolling,enet,x2,6,0.02838387603464108,1.4982542134746443e-05,0.028368747987288414,0.02839850130753016
polynomial,rolling,enet,x2,8,0.02838099148722301,1.2920338421681744e-05,0.028373376591204907,0.02838989140695075
polynomial,rolling,enet,x2,12,0.028376143169371287,5.693971989251376e-06,0.028370148307427658,0.028379874055472706
polynomial,rolling,enet,x2,18,0.028386717311042118,9.835723924688837e-06,0.028379187215804208,0.02839669133368416
polynomial,rolling,enet,x2,30,0.028388321901795698,8.136059561178575e-06,0.028379164021776745,0.02839371532305302
polynomial,rolling,enet,x2,40,0.02838386532158895,6.249619508236425e-06,0.02837910681893815,0.028387463705444125
polynomial,rolling,enet,x2,60,0.02838638635044146,3.8848279152752664e-06,0.028385381358850256,0.028389469762252508
polynomial,rolling,enet,x2,80,0.0283833122565103,5.081245822547379e-06,0.028380800845633106,0.028384868584559752
polynomial,rolling,enet,x2,100,0.028383344115298678,2.857691733015026e-06,0.028380399822371987,0.028385205794900954
polynomial,rolling,enet,x2,200,0.02838164221422783,3.2255924051540863e-06,0.028380063279936453,0.028383493577122686
polynomial,rolling,enet,x2,500,0.02838391949382976,1.996865859971074e-06,0.028382196791875387,0.028384894404443216
polynomial,rolling,enet,x2,1000,0.028383189873597923,9.313298215667542e-07,0.028382440882277087,0.02838423158060172
polynomial,rolling,enet,x3,3,-1.032053828301897,0.0001830902070680561,-1.0322278370635471,-1.0318182598229275
polynomial,rolling,enet,x3,6,-1.0321115096909184,0.00012150167574864267,-1.0322007313385015,-1.031978117202684
polynomial,rolling,enet,x3,8,-1.0320782228769092,0.00011057983427489494,-1.0321272103166241,-1.0320397937326944
polynomial,rolling,enet,x3,12,-1.0320741976900654,6.519140606916425e-05,-1.0321124114961107,-1.0320369610422866
