,base_contribution,y_t-1,y_t-2,y_t-3,y_t-4,y_t-5,y_t-6,y_t-7,y_t-8,y_t-9,y_t-10,y_t-11,y_t-12,fred_rpi,fred_w875rx1,fred_dpcera3m086sbea,fred_cmrmtsplx,fred_retailx,fred_indpro,fred_ipfpnss,fred_ipfinal,fred_ipcongd,fred_ipdcongd,fred_ipncongd,fred_ipbuseq,fred_ipmat,fred_ipdmat,fred_ipnmat,fred_ipmansics,fred_ipb51222s,fred_ipfuels,fred_cumfns,fred_hwi,fred_hwiuratio,fred_clf16ov,fred_ce16ov,fred_unrate,fred_uempmean,fred_uemplt5,fred_uemp5to14,fred_uemp15ov,fred_uemp15t26,fred_uemp27ov,fred_claimsx,fred_payems,fred_usgood,fred_ces1021000001,fred_uscons,fred_manemp,fred_dmanemp,fred_ndmanemp,fred_srvprd,fred_ustpu,fred_uswtrade,fred_ustrade,fred_usfire,fred_usgovt,fred_ces0600000007,fred_awotman,fred_awhman,fred_houst,fred_houstne,fred_houstmw,fred_housts,fred_houstw,fred_permit,fred_permitne,fred_permitmw,fred_permits,fred_permitw,fred_amdmnox,fred_amdmuox,fred_businvx,fred_isratiox,fred_bogmbase,fred_totresns,fred_nonborres,fred_busloans,fred_realln,fred_nonrevsl,fred_conspi,fred_s&p 500,fred_s&p div yield,fred_s&p pe ratio,fred_fedfunds,fred_cp3mx,fred_tb3ms,fred_tb6ms,fred_gs1,fred_gs5,fred_gs10,fred_aaa,fred_baa,fred_compapffx,fred_tb3smffm,fred_tb6smffm,fred_t1yffm,fred_t5yffm,fred_t10yffm,fred_aaaffm,fred_baaffm,fred_exszusx,fred_exjpusx,fred_exusukx,fred_excausx,fred_wpsfd49207,fred_wpsfd49502,fred_wpsid61,fred_wpsid62,fred_oilpricex,fred_ppicmm,fred_cpiappsl,fred_cpitrnsl,fred_cpimedsl,fred_cusr0000sac,fred_cusr0000sad,fred_cusr0000sas,fred_cpiulfsl,fred_cusr0000sa0l2,fred_cusr0000sa0l5,fred_pcepi,fred_ddurrg3m086sbea,fred_dndgrg3m086sbea,fred_dserrg3m086sbea,fred_ces0600000008,fred_ces2000000008,fred_ces3000000008,fred_dtcolnvhfnm,fred_dtcthfnm,fred_invest,soc_ics,soc_ice,soc_icc,fred_rpi_ma3,fred_w875rx1_ma3,fred_dpcera3m086sbea_ma3,fred_cmrmtsplx_ma3,fred_retailx_ma3,fred_indpro_ma3,fred_ipfpnss_ma3,fred_ipfinal_ma3,fred_ipcongd_ma3,fred_ipdcongd_ma3,fred_ipncongd_ma3,fred_ipbuseq_ma3,fred_ipmat_ma3,fred_ipdmat_ma3,fred_ipnmat_ma3,fred_ipmansics_ma3,fred_ipb51222s_ma3,fred_ipfuels_ma3,fred_cumfns_ma3,fred_hwi_ma3,fred_hwiuratio_ma3,fred_clf16ov_ma3,fred_ce16ov_ma3,fred_unrate_ma3,fred_uempmean_ma3,fred_uemplt5_ma3,fred_uemp5to14_ma3,fred_uemp15ov_ma3,fred_uemp15t26_ma3,fred_uemp27ov_ma3,fred_claimsx_ma3,fred_payems_ma3,fred_usgood_ma3,fred_ces1021000001_ma3,fred_uscons_ma3,fred_manemp_ma3,fred_dmanemp_ma3,fred_ndmanemp_ma3,fred_srvprd_ma3,fred_ustpu_ma3,fred_uswtrade_ma3,fred_ustrade_ma3,fred_usfire_ma3,fred_usgovt_ma3,fred_ces0600000007_ma3,fred_awotman_ma3,fred_awhman_ma3,fred_houst_ma3,fred_houstne_ma3,fred_houstmw_ma3,fred_housts_ma3,fred_houstw_ma3,fred_amdmnox_ma3,fred_amdmuox_ma3,fred_businvx_ma3,fred_isratiox_ma3,fred_bogmbase_ma3,fred_totresns_ma3,fred_nonborres_ma3,fred_busloans_ma3,fred_realln_ma3,fred_nonrevsl_ma3,fred_conspi_ma3,fred_s&p 500_ma3,fred_s&p div yield_ma3,fred_s&p pe ratio_ma3,fred_fedfunds_ma3,fred_cp3mx_ma3,fred_tb3ms_ma3,fred_tb6ms_ma3,fred_gs1_ma3,fred_gs5_ma3,fred_gs10_ma3,fred_aaa_ma3,fred_baa_ma3,fred_compapffx_ma3,fred_tb3smffm_ma3,fred_tb6smffm_ma3,fred_t1yffm_ma3,fred_t5yffm_ma3,fred_t10yffm_ma3,fred_aaaffm_ma3,fred_baaffm_ma3,fred_exszusx_ma3,fred_exjpusx_ma3,fred_exusukx_ma3,fred_excausx_ma3,fred_wpsfd49207_ma3,fred_wpsfd49502_ma3,fred_wpsid61_ma3,fred_wpsid62_ma3,fred_oilpricex_ma3,fred_ppicmm_ma3,fred_cpiappsl_ma3,fred_cpitrnsl_ma3,fred_cpimedsl_ma3,fred_cusr0000sac_ma3,fred_cusr0000sad_ma3,fred_cusr0000sas_ma3,fred_cpiulfsl_ma3,fred_cusr0000sa0l2_ma3,fred_cusr0000sa0l5_ma3,fred_pcepi_ma3,fred_ddurrg3m086sbea_ma3,fred_dndgrg3m086sbea_ma3,fred_dserrg3m086sbea_ma3,fred_ces0600000008_ma3,fred_ces2000000008_ma3,fred_ces3000000008_ma3,fred_dtcolnvhfnm_ma3,fred_dtcthfnm_ma3,fred_invest_ma3,soc_ics_ma3,soc_ice_ma3,soc_icc_ma3
rf_cv,0.002130751275839401,-1.8271090269409113e-05,-1.1256692534023999e-05,-9.64859770489949e-06,-1.5882382940657142e-05,-1.89383024921005e-05,-2.6707920868235764e-05,-1.862339546285165e-05,-1.346596223500371e-05,-1.0715868312774713e-05,-6.708634542825688e-06,-4.537116377580859e-06,-2.4550360481785894e-06,-9.472399332800463e-07,-8.336108253119144e-07,-6.304590598489183e-07,-7.701117785132415e-07,-6.678588753738344e-07,-7.415260719473578e-07,-8.30101476995925e-07,-6.353670971814742e-07,-3.9243795748102206e-07,-5.521528433845256e-07,-5.019160865393676e-07,-1.5795967779436698e-06,-8.684245097245244e-07,-8.446902934990984e-07,-7.520091790776953e-07,-8.779568940918043e-07,-5.093947381263562e-07,-8.818186144092299e-07,-5.044025594194921e-07,-1.3131255342494536e-06,-8.426156541645273e-07,-4.906508701556827e-07,-6.44879125068673e-07,-2.6897139841251166e-07,-4.1695853120472745e-07,-1.360583543426627e-06,-7.727741620458164e-07,-5.934840191857606e-07,-8.474788620202109e-07,-6.964188822651779e-07,-7.889483765840806e-07,-1.4607501244736574e-06,-2.112035122367566e-06,-4.34632959313107e-06,-9.007457375215564e-07,-2.017245057319097e-06,-1.6761301002094378e-06,-2.493985408726511e-06,-1.2946237110569987e-06,-1.3843531609420895e-06,-2.402417526959914e-06,-1.0062166744634699e-06,-3.1074980998781634e-06,-1.3592221703297533e-06,-5.831008260825626e-06,-2.423936400060064e-07,-5.461696971878868e-06,-4.403488313457639e-06,-3.967539229558337e-06,-6.189495963996188e-06,-6.882155805570571e-06,-4.402418615913096e-06,-4.335920940341965e-06,-3.846433534821141e-06,-1.0981460652346108e-05,-8.202603388392633e-06,-3.835952411957321e-06,-6.365969349088894e-07,-1.0762559708122834e-05,-6.918739821115101e-06,-4.164773443041177e-07,-7.79411806325447e-07,-1.6852754409996652e-06,-4.4870615258310115e-07,-2.949549357655003e-06,-5.411183945809677e-06,-2.421642660312788e-06,-2.007317714274277e-06,-1.0083078579737825e-06,-1.1056554489854426e-06,-1.5164158979369188e-06,-2.148421679353317e-06,-1.982765741402278e-06,-2.3112158398607968e-06,-2.468993694392555e-06,-1.570679293732994e-06,-1.233257621196119e-06,-1.3797925841704833e-06,-1.477646779351898e-06,-1.3406823026645174e-06,-8.068561278148343e-06,-5.396317982042709e-06,-7.594975856578802e-06,-4.567228265650625e-06,-1.724861358800976e-05,-2.1462220129407834e-05,-3.969008859761949e-05,-3.335966369634693e-05,-1.003869615928858e-06,-1.1788706702097503e-06,-1.0704776984950608e-06,-1.2129913079531592e-06,-8.48650880084841e-06,-5.094683242413045e-06,-1.8446524179420378e-05,-2.2981498114159e-06,-2.9683025555114475e-06,-1.4999749466020634e-06,-1.7345500781200951e-06,-2.2116808870908356e-06,-7.121139944949301e-06,-7.417812531066084e-06,-6.778668691103712e-06,-1.040661026616839e-05,-9.975775988357481e-06,-1.2092399717715943e-05,-1.8803834783290077e-05,-2.602847295873326e-05,-6.206622313660661e-06,-6.964859204614612e-06,-1.2308904023897153e-05,-4.429565156873177e-06,-9.213256652813954e-07,-4.0540297500620555e-06,-2.8313185499453855e-06,-2.2143531354108104e-06,-1.0454682183779193e-06,-9.599386695798777e-06,-1.430997188902204e-05,-3.303133180454992e-06,-1.3500922267428985e-06,-1.536522526555401e-06,-8.544074621125695e-07,-1.6558704939145585e-06,-1.2349403083300704e-06,-1.8720726062539458e-06,-1.524727050643549e-06,-1.6638390035386498e-06,-1.0791384832943972e-06,-9.286750794025264e-07,-1.2452278121624298e-06,-6.861240284562569e-06,-2.108589010055319e-06,-2.4481978148387596e-06,-4.134109737296636e-06,-2.187804330731158e-06,-8.990854536583022e-07,-2.585592189221057e-06,-1.524891463685901e-06,-1.60570477634007e-06,-4.827265610834169e-06,-1.3951116736674676e-06,-1.717423517689687e-06,-1.3323034105050074e-06,-1.6121410617212015e-06,-6.389112789872991e-07,-7.454329936778538e-07,-2.4875932618513144e-06,-1.2962536111012858e-06,-1.934760113783561e-06,-1.8816084090834825e-06,-4.060973058131148e-06,-3.699459516233148e-06,-1.1246935468764221e-05,-2.9539907170000272e-06,-4.973478210175203e-06,-2.9058702649122372e-06,-4.8396814464191325e-06,-3.7693753551440468e-06,-4.337625897801963e-06,-6.836912933250237e-06,-3.257758908677098e-06,-1.0729338752308209e-05,-6.118727308138714e-06,-1.0623910953757692e-05,-5.755422014826667e-07,-8.65984419227019e-06,-8.053005146955635e-06,-9.153420976432428e-06,-1.0212529343774605e-05,-9.654210824731604e-06,-7.283032051431339e-06,-2.285310095116454e-06,-2.0269417248386526e-05,-2.3751026129973927e-05,-6.829503344921796e-07,-1.0474560252176436e-06,-1.8382000413859837e-06,-1.5332619575790946e-06,-4.923259923538451e-06,-1.1493159186960707e-05,-4.6622525090437414e-06,-3.130606981263988e-06,-1.0599179518249834e-06,-1.2079776967402383e-06,-1.8435562477383275e-06,-3.504582225291778e-06,-3.8583255998467985e-06,-4.4093808895804455e-06,-2.289893925080983e-06,-2.4247610074551868e-06,-1.7851351742567653e-06,-1.7700846946523631e-06,-1.856112894837032e-06,-1.79002141141072e-06,-8.550242802564917e-06,-6.8957269649549465e-06,-8.441283465686975e-06,-4.4681355491949384e-06,-1.714785461798992e-05,-1.6324230648538864e-05,-2.9449158740739106e-05,-2.6143364895343467e-05,-1.6717583497946834e-06,-3.3092741330946228e-06,-1.8324718776109672e-06,-1.977216901778336e-06,-3.5180996803839346e-05,-2.3392331356586726e-05,-4.362514290932321e-05,-4.915347517987897e-06,-2.1930948137678586e-06,-4.790302360026606e-06,-7.270446673425491e-06,-2.9718741410936822e-06,-2.551933689479518e-05,-2.799182266797586e-05,-1.1272464761695761e-05,-2.5400972473342383e-05,-1.935844776663372e-05,-2.62759757020723e-05,-3.5254304058081195e-05,-9.512734127423467e-05,-8.29116341827667e-05,-1.737685662668382e-05,-3.641251498941416e-05,-5.182717450285994e-05,-7.378532693076444e-06,-6.629324271173803e-05,-3.5308052171258923e-06,-4.415008504759646e-06,-1.6473869539365231e-06,-7.095231518117536e-06,-1.6692569293466313e-05,-5.899949110968559e-06
xgb_cv,0.002130547319352014,-2.5555216816729415e-06,-1.4030575041550563e-06,3.782324691806014e-06,-1.4314450932775265e-05,-3.4340327824795176e-05,-7.897210952440086e-05,-3.481703133105951e-05,-2.1210152596839873e-05,-1.2239784964664177e-05,-1.0877216313835258e-05,-2.4610759798137728e-06,5.550953450911641e-07,-6.736794275916718e-07,-3.68188878038477e-07,8.874377533480319e-07,-2.9603261226326882e-06,-3.279468636504927e-07,-8.825477603137552e-08,-1.8986268370090497e-07,-4.3476979885689276e-07,-5.298794767384632e-07,-1.2309783384209785e-06,-1.0215572630716169e-07,-5.202442483396539e-07,-2.776565407709751e-07,1.630838783202521e-07,-1.0583488993993137e-06,-1.9550615924935498e-07,-1.1131592718721457e-06,-9.036971229031113e-07,-5.265435579326398e-07,-4.457769303130477e-06,-1.341958088623391e-06,-1.1130002317139384e-07,-9.081098822824902e-07,-4.60212675845662e-07,-5.9439055170648215e-08,-3.692025421835911e-07,-1.862962633396321e-06,7.520959263232144e-08,-4.568218927875929e-07,-1.0195793827086594e-06,-1.2491870599211293e-07,-2.0293363873530215e-07,-7.911405903516608e-07,-4.962849744398698e-06,1.437505198151055e-07,-6.131184970688719e-07,-6.616300957889892e-07,-1.4459868070049864e-06,-5.58551635262471e-07,-1.9246644322100338e-07,-1.1226596107132167e-06,2.1317113791233272e-07,-6.459331096064554e-07,-1.305382668456556e-06,-4.110208397552201e-06,-9.263353642118976e-08,-2.1143494869131413e-06,2.688786132983744e-07,-2.7540425686058455e-06,-1.5496291800637934e-06,-1.531410266873347e-06,-4.539669272618523e-06,-4.1633522644152675e-06,-1.9142784620942807e-06,-4.536217796100238e-06,-1.3141315397771634e-05,-3.635194249953329e-06,-7.865705699457297e-07,-2.2099260574310704e-05,-2.918380370987838e-06,-2.576369415636248e-07,3.447858825208767e-08,-2.3073764361439166e-06,-4.321932866799613e-07,-1.96146406374327e-06,-6.472710657538526e-06,-1.2725441699250827e-06,-1.8854040643405417e-06,-3.218939191483808e-07,-1.2464028074971359e-06,-3.1944300727279906e-06,-1.440163922343998e-06,-6.831902909290998e-07,-8.911094000482248e-07,-1.6688900272373686e-07,6.606575225435262e-07,-2.0522303609277853e-06,-1.4248567780917547e-06,2.1722232440808334e-07,-5.559608143488375e-07,-8.705235681950222e-06,-1.565593147367142e-06,-2.4843566047096645e-06,-2.801218856109241e-06,-5.218266660809958e-06,-2.8245496858593314e-06,-0.00013381088774385702,-7.388375021680804e-05,3.334884101644913e-07,-4.7407035650121785e-07,-4.8118961150343735e-06,-6.139061962085775e-07,-3.257256660542593e-06,-2.1450967386174856e-06,-1.526256140730521e-05,-6.931201194705191e-06,-9.971891689808008e-06,-3.0631704776356047e-06,-3.248206284558333e-06,-1.3352231071259093e-06,-2.2345922142350128e-06,-1.4009282444253263e-06,-1.2948562970326907e-05,-7.499753524303477e-08,-9.972492588380389e-07,6.814942429445378e-07,-1.8792306576690568e-06,-1.9726403373976484e-05,-4.622763894947019e-06,-3.3440349460375503e-06,-6.1784045901077e-07,-8.177813039668332e-08,-1.0323423609557797e-06,7.821161613961374e-07,-1.6344148607576664e-06,-7.065966428147563e-07,-1.0934351205807363e-06,-2.2405889626126316e-06,-1.8569643672795524e-06,-1.4000194088285884e-06,4.170247166743342e-07,-4.0467944214913815e-06,9.87710740446009e-07,-2.126338280599209e-06,-7.135375557094139e-07,-7.739730297584999e-07,-4.538612994421068e-07,-1.1878167037099372e-08,-6.533988540483246e-07,-7.551892996661238e-07,-4.199627514599827e-06,-9.92765485203721e-06,-4.813229865712153e-06,-4.116427292663186e-06,-4.046053030513469e-06,-7.3088854824886e-07,-9.487766900618291e-07,-8.701875466824996e-06,-3.744267967182235e-07,-1.485701886245025e-06,-1.4818802046336998e-05,-2.2995584879679336e-06,-5.598174681135956e-07,-4.95588517819791e-07,-2.8182372327310385e-06,1.443060919659929e-07,-6.393968515156133e-07,-2.5591744685399082e-06,-1.6249257952582273e-06,-3.355506250965984e-06,-5.746911433125823e-07,-8.860038496358375e-07,-2.180351912662889e-06,-3.6824086735081674e-06,-4.530625183244127e-06,-6.695590220066095e-06,-7.178647432209132e-07,-2.800918631704571e-06,-9.410410654095116e-07,-3.142520818253748e-06,-1.9018288250070117e-05,-3.9634817430041824e-06,-1.03946868419644e-05,-2.0830585034473982e-05,-1.1074213784889567e-05,-1.0100536444011796e-06,-1.1479837972510146e-05,-5.273527599662576e-06,-1.0258116974656763e-05,-4.463224951673553e-06,-5.296593797436406e-06,-3.7298035255547175e-06,-7.473974539592576e-06,-4.771864527874036e-05,-2.832247666833391e-05,-1.9438267956954924e-07,-3.2732424545980683e-06,-2.018896136917397e-06,-2.1751011378175557e-06,-2.8974197212838368e-06,-2.4182309532117036e-05,-2.82927391190679e-06,-3.285473030610314e-06,-4.409649627289919e-07,-6.347253289731725e-07,-1.7787271423520364e-06,-2.7525762303831076e-06,-1.5874251224914872e-06,-3.966740265631814e-06,-1.423167407804809e-06,-2.7457174187982526e-07,-1.0058652687755239e-06,-7.550585964632398e-07,-9.965051627251417e-07,2.198818417754809e-06,-8.424449213510064e-06,-4.3713890287493825e-06,-5.149172887585209e-06,-2.4849612781724774e-06,-6.96878263331321e-06,-3.1098996230795653e-06,-8.768846587568513e-06,-2.368346387129535e-06,-5.537464680821294e-06,-2.925252123271112e-06,-1.3810642313871239e-06,-1.012044000112296e-06,-4.188537611767452e-05,1.0910509730210373e-06,-7.259813296234042e-05,-3.4530083365177552e-06,-1.2017184341062449e-06,-8.394332628539932e-06,-1.4628929995899802e-05,2.4206680891800467e-06,-4.3776580917014805e-05,1.0570301282767325e-06,-1.8516502688629345e-06,-2.6001822471998593e-06,-4.0097757822340397e-07,-3.305381842310437e-06,-8.497617655988079e-06,-0.0002254221832196172,-0.00010509672920137348,2.630364852116185e-06,-2.4074997259009974e-06,-6.542463937016867e-05,-1.922898558173004e-06,-0.00010925822032813507,-5.115568785131234e-06,-7.111897309905076e-06,-1.4411359103245473e-06,-5.2665791466015984e-06,-2.813262717544119e-05,-2.4184517182487124e-06
nn_comb,0.0021487566864528415,3.554255908811864e-06,8.63772919556734e-07,8.864280102457219e-07,-2.0180500866311242e-05,-4.0179369284632193e-05,-4.417702438751934e-05,-3.204129679445922e-05,-1.8636435636655214e-05,-1.4381867241386333e-05,-1.4991035896179457e-05,-7.267207671444388e-06,-3.6650430866621226e-06,5.275917420562924e-07,2.1174681722624313e-07,1.3061681087602638e-06,5.074574769192258e-07,6.826760169483816e-07,4.931270633802576e-07,-5.388795683348426e-07,-3.7458686324674264e-08,-4.851052738935287e-08,6.389825365489945e-07,-2.1875284158313824e-06,-8.168691588466252e-07,-5.45093043312708e-08,4.506094605940381e-07,-2.4690213997636296e-07,-7.194052611301084e-08,7.083404654288075e-07,3.6223102227597475e-07,-5.354382502793803e-07,2.868469028787592e-07,-3.7813489180241545e-07,-8.913008878608664e-08,-6.112717355640966e-07,1.1518686050080372e-07,-3.258715050663471e-07,2.1190506646329956e-07,-4.1682773342551154e-07,4.335873126650586e-07,1.4566492869664714e-08,-4.324650370266859e-08,2.1168055938265424e-07,-4.634337099548765e-07,-2.059458299451314e-06,-9.348091799618667e-07,1.782167171331719e-07,-1.5268636000096412e-06,-1.0618517784686681e-06,1.6768048771417418e-07,-2.7333287677011815e-07,-7.898649295726558e-07,-6.590057535493243e-06,-7.382571339238674e-08,-4.353068078850834e-06,3.163853215206716e-07,-8.94577115278001e-06,-8.251124260843823e-07,-1.1072242901973336e-05,-3.7814198463819235e-06,-1.269261379693017e-06,-4.6300961290543615e-06,1.409235787035608e-06,-4.6316027134329455e-06,-4.710382921876241e-06,-1.6976131137457315e-06,-2.309957457002795e-06,-8.733814890677829e-06,-6.064778670929253e-06,7.652760943795204e-07,-1.4487964023765787e-05,-2.149288335476514e-06,-1.1216982073728643e-06,-3.6532517414845975e-07,-2.2406613109967325e-06,-2.133580665384131e-08,-6.461245497013606e-06,-9.96188955557662e-06,-1.740433873726843e-08,-9.901345288973966e-07,1.3213203396146496e-06,2.3635155578034003e-07,-1.5814963114178967e-06,5.345723683844103e-09,-3.5072670775172637e-07,-1.0423058679785773e-06,-7.102403912729498e-07,-3.634633169085602e-08,8.671584825259372e-08,-3.2283948605678406e-06,-4.4218319429865376e-07,1.0656397919955988e-06,-1.2277874561744446e-05,1.1011416314654252e-05,2.709564314756953e-06,9.678513007310946e-08,-2.53737033060905e-05,-1.962976900260659e-05,-2.2771451284445075e-05,-3.8113935197881584e-05,-5.874137985489375e-07,-1.24684560391774e-06,-1.1650081669216166e-06,1.040599219789219e-06,-8.40543992800363e-06,-7.5180082027640895e-06,-1.759048610544337e-06,-3.0827848987643647e-06,-7.152165325819894e-06,-4.087532475901545e-06,-5.0620451300614285e-06,2.5256155735582566e-06,-8.005001227763109e-06,3.4674484774827076e-06,-2.5177682010079335e-05,-2.749150618586885e-06,9.844721324481973e-07,6.14788599463536e-06,-6.548961057229142e-06,-5.086025407162413e-06,-6.80326697015231e-06,5.057785302746269e-07,-5.23148051893605e-06,-6.80353056914726e-08,1.0669732493696439e-06,-2.143246972470921e-06,2.1195479782279446e-07,5.453287310824161e-07,-4.186108850037638e-07,-1.8923779568225614e-05,-3.4490523572030014e-05,-3.430346027432136e-06,8.653581516100005e-07,1.2104476087887304e-06,5.16818930465069e-06,-7.063628497352395e-07,-4.568941600104791e-06,-9.999260754848389e-07,-6.942094173391247e-07,6.378194530821078e-07,-2.2556556483802076e-06,1.0652457798866043e-06,-8.27458042402644e-06,-8.870186591659356e-06,-2.0566817152002936e-06,-1.8450939691466656e-06,-3.279568410018007e-06,-1.30059528841763e-06,5.593879326056775e-07,-3.5620185043338955e-06,-2.066950185630918e-06,7.07611135865653e-07,-1.977091257430932e-06,-2.673992905675685e-06,-1.2181697173446884e-06,-3.8988847521936584e-07,-2.855757561186989e-06,-2.6628030304697175e-07,-6.95438016961392e-07,-5.981630039333062e-07,-1.7679128599873048e-06,-1.8362563948498268e-06,-3.787982804233749e-07,-2.0264858888275013e-06,-1.6817752505260605e-08,1.409815442822841e-06,-2.059152366517552e-06,-1.9983514477058185e-06,-1.4472608426511004e-06,-3.536871639396583e-07,-5.742194902705065e-06,-5.322926440797294e-06,-5.37500312524547e-06,-3.1131156583936142e-06,-9.575898247520248e-06,-4.154827104192575e-06,-2.4689478513482053e-05,-1.4884005048408487e-06,-2.4685690858816774e-05,-8.44304116518186e-06,-3.6152437772869066e-06,-1.0362181084132261e-05,-1.4169824915015488e-06,-1.1655301552381806e-05,-3.5786480041676943e-06,-3.842550293960037e-05,-3.7987422219213924e-05,-9.565922368137415e-07,-1.99461881077468e-06,-1.7471468530766285e-06,-7.903638780997656e-07,3.402692245985783e-06,-2.13371359927162e-05,-7.769037090346798e-07,-4.411690830439016e-06,-4.7371845330380937e-07,-2.027092364522891e-06,-3.888881085867311e-06,-2.3364069064643156e-06,-1.42398422519636e-06,-2.050341835478696e-06,-1.3301408699345701e-07,1.4484423685828346e-06,1.1385066814971685e-06,-2.8299885599577945e-06,8.832853578159843e-07,1.5018203322371203e-06,-1.126193828672399e-05,1.2469469429107647e-05,8.851266627153748e-06,5.59153379576186e-06,-2.9022000391372028e-05,-2.5894612692126864e-05,-3.0713263823354536e-05,-4.354201903913569e-05,-4.170354174478407e-06,-5.882890116580108e-06,-3.137691159754344e-07,-9.319550355322073e-07,-1.1088503266302932e-05,-1.1448043616977535e-05,-5.9900064718364235e-06,-3.4919764232789795e-06,-2.2493929273943416e-06,-8.102810057682675e-06,-1.3917065359191492e-05,4.3214514019697446e-06,-2.415404325083524e-05,1.3451771277737593e-06,-2.6383042031887726e-06,-3.4982470075987936e-06,4.5592836687156194e-07,1.1031160561778084e-06,-8.059735721716102e-06,-2.368515707523912e-05,-2.031605060454421e-05,-2.0118064928933332e-06,-3.549535161483144e-05,-3.183638555311347e-05,-6.16423408901135e-06,-1.989936217012926e-05,-1.5988838775249717e-06,-2.1029592662203923e-06,-5.506353599105509e-07,-3.689349295046543e-05,-6.516159643206249e-05,-1.4774612124198774e-06
enet,0.002130533352254116,0.0,0.0,0.0,-1.3207872868800982e-05,-5.669356352543979e-05,-7.413116522090354e-05,-5.688362549330599e-05,-2.5704864662237863e-05,-1.4374625018129042e-05,-5.879854830542614e-06,-9.886580069049997e-07,0.0,-7.014310118532482e-10,0.0,1.8752795665346462e-07,1.5116769107795376e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.035114204565471e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.234784604067481e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762062125799133e-07,0.0,6.682235196078801e-10,0.0,-1.517374354231783e-08,-2.6078904243714723e-06,0.0,-4.834909418939884e-07,-1.479738696936084e-07,-1.3567099026791677e-08,0.0,-2.1875125256481812e-07,0.0,-4.025912447597896e-08,0.0,0.0,-6.467471899977836e-07,-5.214105197353779e-08,0.0,-5.020759824170089e-07,-4.364900097309399e-07,-1.4774534735339687e-05,0.0,-6.035111708980846e-06,0.0,-8.92472556036553e-07,0.0,-2.317316070392433e-06,0.0,0.0,0.0,0.0,-4.214120213205598e-08,0.0,0.0,0.0,6.666983956877897e-08,0.0,-2.5778373845371715e-08,0.0,0.0,6.4505398316284765e-09,-3.170254595197047e-07,0.0,0.0,-1.818793524857201e-06,-3.848211902110314e-08,0.0,1.1048179868550006e-07,-7.381563808600557e-06,0.0,-2.980780220065329e-06,-0.00010254590531855156,0.0,6.486568737830802e-08,0.0,-2.9655816459863217e-10,-7.852322198735888e-07,-7.875657489949314e-06,-8.966090768822609e-06,-1.0948831777722535e-07,-3.199464323571569e-06,-2.8291467125808158e-06,-8.579120893804178e-09,0.0,-4.444516443771903e-08,0.0,-4.417389060606576e-06,0.0,0.0,0.0,-1.3756226450129566e-05,-3.093160620755109e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0191715101188467e-08,0.0,0.0,0.0,0.0,-7.430364266773041e-07,0.0,0.0,-1.0322709394713111e-07,1.8099185877882032e-07,-3.930616043827791e-06,0.0,0.0,0.0,0.0,-2.596820991389564e-10,-3.5346761546218674e-07,-9.71523671930348e-06,0.0,0.0,-1.4872303011525937e-06,0.0,0.0,-1.591434700301108e-07,0.0,-3.604761939153729e-07,0.0,-1.8962808070750042e-10,0.0,0.0,0.0,7.457375114954608e-08,0.0,0.0,0.0,-7.25113005606452e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.548126285884937e-07,-6.044453584436551e-07,-3.8145365073157857e-07,2.5050289834856947e-07,-3.937886270907689e-06,-1.109516568777118e-06,-4.4923953833314925e-06,0.0,-1.365726080739102e-06,0.0,0.0,-1.3189338544959345e-05,0.0,-3.463293761838889e-06,-1.0620888565993374e-06,-6.214429683425458e-05,-1.3874734712177351e-05,-3.24800781753439e-07,0.0,-1.353673418890691e-09,0.0,0.0,-4.455545626013444e-06,0.0,0.0,0.0,-1.8852638016194106e-08,0.0,6.458608582009858e-09,0.0,8.53260492417944e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.666283039438235e-09,-1.921509923320504e-06,0.0,0.0,-1.0364546302740578e-07,-6.626823299855618e-07,2.2826676927227477e-07,0.0,-2.5918354496132745e-08,-1.1858677176934869e-07,-1.8183795681006153e-06,-5.914214825378816e-06,-1.647549680320802e-06,0.0,-2.0413185404837517e-06,-9.48352837392612e-06,-1.519255386915456e-08,-2.4848440699150394e-05,5.1568938881328686e-08,-2.8049077763487534e-07,0.0,0.0,-9.084385276292891e-07,-2.4013425156062944e-07,-0.00016314623752313915,-4.053863099739437e-05,0.0,-1.3515636358900125e-06,-2.1555705969132863e-05,-8.786212709889192e-09,-3.549495897463319e-05,-3.4076347836350287e-07,0.0,-8.713067384228551e-07,0.0,-0.00011875328491695649,-7.137699560391577e-07
