horizon,period,model,n_test_rows,max_abs_error_y_hat,max_abs_error_full_coalition,pass
6,0,rf_cv,1,0.0,0.0,True
6,0,xgb_cv,1,0.0,0.0,True
6,0,nn_deep,1,0.0,2.6020852139652106e-18,True
6,0,nn_shallow,1,0.0,0.0,True
6,0,enet,1,0.0,4.336808689942018e-19,True
6,0,pca,1,0.0,4.336808689942018e-19,True
6,208,rf_cv,1,0.0,0.0,True
6,208,xgb_cv,1,0.0,0.0,True
6,208,nn_deep,1,0.0,0.0,True
6,208,nn_shallow,1,0.0,8.673617379884035e-19,True
6,208,enet,1,0.0,0.0,True
6,208,pca,1,2.168404344971009e-19,1.0842021724855044e-18,True
6,415,rf_cv,1,0.0,0.0,True
6,415,xgb_cv,1,0.0,0.0,True
6,415,nn_deep,1,0.0,0.0,True
6,415,nn_shallow,1,0.0,0.0,True
6,415,enet,1,0.0,0.0,True
6,415,pca,1,0.0,0.0,True
