,base_contribution,fred_rpi,fred_w875rx1,fred_dpcera3m086sbea,fred_cmrmtsplx,fred_retailx,fred_indpro,fred_ipfpnss,fred_ipfinal,fred_ipcongd,fred_ipdcongd,fred_ipncongd,fred_ipbuseq,fred_ipmat,fred_ipdmat,fred_ipnmat,fred_ipmansics,fred_ipb51222s,fred_ipfuels,fred_cumfns,fred_hwi,fred_hwiuratio,fred_clf16ov,fred_ce16ov,fred_unrate,fred_uempmean,fred_uemplt5,fred_uemp5to14,fred_uemp15ov,fred_uemp15t26,fred_uemp27ov,fred_claimsx,fred_payems,fred_usgood,fred_ces1021000001,fred_uscons,fred_manemp,fred_dmanemp,fred_ndmanemp,fred_srvprd,fred_ustpu,fred_uswtrade,fred_ustrade,fred_usfire,fred_usgovt,fred_ces0600000007,fred_awotman,fred_awhman,fred_houst,fred_houstne,fred_houstmw,fred_housts,fred_houstw,fred_permit,fred_permitne,fred_permitmw,fred_permits,fred_permitw,fred_amdmnox,fred_amdmuox,fred_businvx,fred_isratiox,fred_bogmbase,fred_totresns,fred_nonborres,fred_busloans,fred_realln,fred_nonrevsl,fred_conspi,fred_s&p 500,fred_s&p div yield,fred_s&p pe ratio,fred_fedfunds,fred_cp3mx,fred_tb3ms,fred_tb6ms,fred_gs1,fred_gs5,fred_gs10,fred_aaa,fred_baa,fred_compapffx,fred_tb3smffm,fred_tb6smffm,fred_t1yffm,fred_t5yffm,fred_t10yffm,fred_aaaffm,fred_baaffm,fred_exszusx,fred_exjpusx,fred_exusukx,fred_excausx,fred_wpsfd49207,fred_wpsfd49502,fred_wpsid61,fred_wpsid62,fred_oilpricex,fred_ppicmm,fred_cpiappsl,fred_cpitrnsl,fred_cpimedsl,fred_cusr0000sac,fred_cusr0000sad,fred_cusr0000sas,fred_cpiulfsl,fred_cusr0000sa0l2,fred_cusr0000sa0l5,fred_pcepi,fred_ddurrg3m086sbea,fred_dndgrg3m086sbea,fred_dserrg3m086sbea,fred_ces0600000008,fred_ces2000000008,fred_ces3000000008,fred_dtcolnvhfnm,fred_dtcthfnm,fred_invest,soc_ics,soc_ice,soc_icc,ar
rf_cv,0.002130751275839401,-2.2973321600229446e-06,-2.3701333518673155e-06,-1.4848665219614878e-06,-2.4259822724278e-06,-1.9027991837039048e-06,-2.6135986782013037e-06,-2.354828527639474e-06,-2.299206100720124e-06,-1.4715764407754194e-06,-1.480827922787052e-06,-1.7471438987017975e-06,-8.440837062506239e-06,-2.9770135197798434e-06,-3.292888108337858e-06,-4.886118916374331e-06,-3.0657612248229623e-06,-1.4084801917846583e-06,-3.467410803630287e-06,-2.029294023105393e-06,-2.918830310589524e-06,-5.669881264998696e-06,-1.8857625438231504e-06,-2.36230264275836e-06,-1.6012748089175191e-06,-2.029099592925929e-06,-1.999494822413926e-06,-1.5182071557236702e-06,-3.081077281037075e-06,-2.1437324731214966e-06,-2.631178996048739e-06,-2.6705567856675633e-06,-5.521723182604806e-06,-5.8114946386007145e-06,-1.5593265061895292e-05,-3.854736454521583e-06,-6.9907232674943e-06,-4.582000365121675e-06,-7.333666855145643e-06,-5.063999066201046e-06,-5.721979058744053e-06,-9.239330460210151e-06,-4.263975583140568e-06,-1.3836836852186371e-05,-7.477949478468468e-06,-1.6454919214583318e-05,-8.179358414886731e-07,-1.4121541164149058e-05,-1.2456493460413274e-05,-1.3120960205990765e-05,-1.6402025307770795e-05,-1.6536366630302173e-05,-1.1685450667344435e-05,-4.335920940341965e-06,-3.846433534821141e-06,-1.0981460652346108e-05,-8.202603388392633e-06,-3.835952411957321e-06,-2.9219070300253435e-06,-3.103197695650936e-05,-3.066976595108903e-05,-1.0994276787962972e-06,-1.8268678315430905e-06,-3.523475482385649e-06,-1.9819681101621958e-06,-7.872809281193454e-06,-1.6904343132770383e-05,-7.0838951693565295e-06,-5.137924695538265e-06,-2.068225809798766e-06,-2.3136331457256807e-06,-3.3599721456752463e-06,-5.653003904645095e-06,-5.8410913412490765e-06,-6.720596729441242e-06,-4.758887619473538e-06,-3.9954403011881805e-06,-3.0183927954528844e-06,-3.1498772788228464e-06,-3.33375967418893e-06,-3.1307037140752374e-06,-1.661880408071326e-05,-1.2292044946997655e-05,-1.6036259322265776e-05,-9.035363814845564e-06,-3.4396468205999674e-05,-3.77864507779467e-05,-6.913924733835859e-05,-5.950302859169039e-05,-2.6756279657235414e-06,-4.488144803304373e-06,-2.9029495761060282e-06,-3.190208209731495e-06,-4.3667505604687756e-05,-2.848701459899977e-05,-6.207166708874359e-05,-7.213497329403796e-06,-5.161397369279306e-06,-6.29027730662867e-06,-9.004996751545587e-06,-5.183555028184517e-06,-3.264047683974448e-05,-3.5409635199041944e-05,-1.805113345279947e-05,-3.580758273951077e-05,-2.93342237549912e-05,-3.836837541978824e-05,-5.405813884137127e-05,-0.00012115581423296793,-8.911825649642737e-05,-2.434171583129843e-05,-4.8721419013311315e-05,-5.625673965973312e-05,-8.299858358357839e-06,-7.034727246180009e-05,-6.362123767071278e-06,-6.629361640170456e-06,-2.6928551723144424e-06,-1.669461821391631e-05,-3.1002541182488355e-05,-9.203082291423551e-06,-0.00015721099978854123
xgb_cv,0.002130547319352014,-2.566547109173376e-07,-4.414983299529859e-06,1.875148493794041e-06,-5.086664403231898e-06,-1.0414844193599067e-06,-8.622278057898754e-07,-6.437239831430117e-07,-4.466479658939921e-07,-1.1832783307867879e-06,-1.9861676380871024e-06,-4.301783240906989e-06,-1.0447899100376865e-05,-5.090886406483128e-06,-3.953343414342933e-06,-5.1044019299127825e-06,-9.263947074982149e-07,-2.061935961933975e-06,-9.605572589728107e-06,-9.009703546508633e-07,-5.943471189375502e-06,-1.616076013496039e-05,-2.4108585111393276e-06,-1.4679273503960858e-06,-9.55801193665453e-07,-2.8776762879016865e-06,-2.248964502175982e-07,-2.5023594849119343e-06,-2.483964875907587e-06,-2.0817476880458203e-06,-4.375085633674644e-06,-6.996098493046952e-07,-1.0889374883711397e-06,-2.9714925030145493e-06,-8.645258417906864e-06,-4.386874663429021e-06,-7.308708717134967e-06,-1.3794948390099023e-06,-4.246905438709557e-06,-1.4995927006719826e-06,-3.3349872614747515e-06,-2.0140947860783335e-05,-3.75031060509185e-06,-1.1040619951570854e-05,-2.2135967702930538e-05,-1.518442218244177e-05,-1.1026871808223694e-06,-1.3594187459423287e-05,-5.004648986364201e-06,-1.3012159543262609e-05,-6.012854131737347e-06,-6.828004064309753e-06,-8.26947279817324e-06,-4.1633522644152675e-06,-1.9142784620942807e-06,-4.536217796100238e-06,-1.3141315397771634e-05,-3.635194249953329e-06,-8.260545109538306e-06,-6.981790585305106e-05,-3.1240857039321746e-05,-4.5201962113317406e-07,-3.2387638663459806e-06,-4.326272573061314e-06,-2.607294424497517e-06,-4.858883785027107e-06,-3.065502018965556e-05,-4.101818081831873e-06,-5.1708770949508555e-06,-7.628588818773728e-07,-1.8811281364703083e-06,-4.973157215080027e-06,-4.1927401527271054e-06,-2.270615413420587e-06,-4.857849665680039e-06,-1.590056410528546e-06,3.860857806637009e-07,-3.058095629703309e-06,-2.1799153745549944e-06,-7.792828383170584e-07,1.6428576034059715e-06,-1.7129684895460287e-05,-5.9369821761165244e-06,-7.633529492294875e-06,-5.2861801342817185e-06,-1.2187049294123168e-05,-5.934449308938897e-06,-0.00014257973433142552,-7.625209660393758e-05,-5.203976270656802e-06,-3.3993224797723303e-06,-6.192960346421497e-06,-1.6259501963208734e-06,-4.514263277821711e-05,-1.0540457655964483e-06,-8.786069436964563e-05,-1.0384209531222946e-05,-1.1173610123914254e-05,-1.1457503106175537e-05,-1.7877136280458135e-05,1.0854449820541374e-06,-4.601117313124982e-05,-3.438981161485939e-07,-1.4800213239189841e-05,-2.675179782442894e-06,-1.3982268370614428e-06,-2.623887599365899e-06,-1.0376848313657136e-05,-0.0002451485865935937,-0.0001097194930963205,-7.13670093921365e-07,-3.025340184911767e-06,-6.550641750056535e-05,-2.9552409191287837e-06,-0.00010847610416673892,-6.7499836458889005e-06,-7.818493952719832e-06,-2.534571030905284e-06,-7.50716810921423e-06,-2.9989591542720742e-05,-3.818471127077301e-06,-0.00020885330861711472
nn_comb,0.0021487566864528415,1.392949893666293e-06,1.4221944260149734e-06,6.474357413410954e-06,-1.9890537281601367e-07,-3.8862655831564094e-06,-5.067990121045813e-07,-1.2330889856739674e-06,6.003607667574335e-07,-2.3041661757695605e-06,1.704228316435599e-06,-1.0462108839857824e-05,-9.687055750505982e-06,-2.1111910195315644e-06,-1.3944845085526275e-06,-3.52647054999437e-06,-1.3725358145306408e-06,1.2677283980344849e-06,-3.1997874820579205e-06,-2.602388435910298e-06,9.944580387444122e-07,-2.355226149233347e-06,-2.763122994461772e-06,-1.8294414529087849e-06,-2.747016147185621e-07,-3.181629066253336e-06,-5.4375236583672184e-08,-1.1122657503869035e-06,-1.645756912682476e-07,-1.7533463671176401e-06,-1.8795028985524953e-06,-1.6711772104072065e-07,-2.489919598782378e-06,-2.0762760519565746e-06,4.750062628609743e-07,-1.88093564938438e-06,-3.5252150477154597e-06,-2.5091126211197685e-06,-1.860066762254841e-07,-6.015527779475183e-06,-6.11279137036995e-06,-1.1965060660738712e-05,-3.186941371786001e-06,-1.3928966326371082e-05,-3.8384417826719035e-06,-3.363524966626206e-05,-2.313512930925231e-06,-3.575793376079011e-05,-1.2224461011563783e-05,-4.884505156979924e-06,-1.4992277213186622e-05,-7.746704465940709e-09,-1.628690426581475e-05,-4.710382921876241e-06,-1.6976131137457315e-06,-2.309957457002795e-06,-8.733814890677829e-06,-6.064778670929253e-06,-2.813371909788174e-06,-5.291346696336616e-05,-4.013671055469044e-05,-2.0782904441866057e-06,-2.3599439849231396e-06,-3.987808164073361e-06,-8.116996847536069e-07,-3.058553251027823e-06,-3.129902554829282e-05,-7.943080477719482e-07,-5.4018253593364126e-06,8.476018863108402e-07,-1.790740808742551e-06,-5.470377397285208e-06,-2.3310611827804714e-06,-1.7747109329480863e-06,-3.092647703457273e-06,-8.432544782664068e-07,1.4120960368919787e-06,1.2252225297497622e-06,-6.0583834205256355e-06,4.4110216351733057e-07,2.567460124232719e-06,-2.353981284846844e-05,2.3480885743761897e-05,1.1560830941910702e-05,5.68831892583497e-06,-5.439570369746253e-05,-4.552438169473346e-05,-5.3484715107799614e-05,-8.165595423701727e-05,-4.757767973027344e-06,-7.1297357204978475e-06,-1.478777282897051e-06,1.086441842570117e-07,-1.9493943194306564e-05,-1.8966051819741624e-05,-7.749055082380761e-06,-6.574761322043345e-06,-9.401558253214235e-06,-1.219034253358422e-05,-1.8979110489252922e-05,6.847066975528001e-06,-3.215904447859835e-05,4.812625605256467e-06,-2.7815986213268108e-05,-6.247397626185678e-06,1.4404004993197592e-06,7.251002050813169e-06,-1.4608696778945244e-05,-2.877118248240153e-05,-2.711931757469652e-05,-1.5060279626187064e-06,-4.072683213376749e-05,-3.1904420858804944e-05,-5.097260839641706e-06,-2.204260914260018e-05,-1.3869290797021771e-06,-1.5576305351379762e-06,-9.692462449143147e-07,-5.581727251869104e-05,-9.96521200040925e-05,-4.907807239852014e-06,-0.0001902153240266352
enet,0.002130533352254116,-7.014310118532482e-10,0.0,8.43008627063335e-08,1.961086278866157e-07,-3.930616043827791e-06,0.0,0.0,0.0,0.0,-2.596820991389564e-10,-3.5346761546218674e-07,-9.785587861349135e-06,0.0,0.0,-1.4872303011525937e-06,0.0,0.0,-1.591434700301108e-07,0.0,-4.83954654322121e-07,0.0,-1.8962808070750042e-10,0.0,0.0,0.0,7.457375114954608e-08,0.0,0.0,0.0,-7.25113005606452e-07,0.0,0.0,0.0,0.0,0.0,-3.5762062125799133e-07,0.0,6.682235196078801e-10,-4.548126285884937e-07,-6.196191019859729e-07,-2.9893440751030507e-06,2.5050289834856947e-07,-4.421377212801678e-06,-1.2574904384707266e-06,-4.5059624823582846e-06,0.0,-1.5844773333039202e-06,0.0,-4.025912447597896e-08,-1.3189338544959345e-05,0.0,-4.1100409518366725e-06,-5.214105197353779e-08,0.0,-5.020759824170089e-07,-4.364900097309399e-07,-1.4774534735339687e-05,-1.0620888565993374e-06,-6.817940854323543e-05,-1.3874734712177351e-05,-1.217273337789992e-06,0.0,-2.3186697438113237e-06,0.0,0.0,-4.455545626013444e-06,0.0,-4.214120213205598e-08,0.0,-1.8852638016194106e-08,0.0,7.312844815078883e-08,0.0,5.954767539642268e-08,0.0,0.0,6.4505398316284765e-09,-3.170254595197047e-07,0.0,0.0,-1.818793524857201e-06,-3.848211902110314e-08,0.0,1.0881551564606183e-07,-9.303073731921062e-06,0.0,-2.980780220065329e-06,-0.00010264955078157897,-6.626823299855618e-07,2.931324566505828e-07,0.0,-2.6214912660731378e-08,-9.038189916429375e-07,-9.69403705804993e-06,-1.4880305594201425e-05,-1.7570379980980274e-06,-3.199464323571569e-06,-4.870465253064567e-06,-9.492107494819923e-06,-1.519255386915456e-08,-2.4892885863588114e-05,5.1568938881328686e-08,-4.697879838241452e-06,0.0,0.0,-9.084385276292891e-07,-1.3996360701690195e-05,-0.00016623939814389426,-4.053863099739437e-05,0.0,-1.3515636358900125e-06,-2.1555705969132863e-05,-8.786212709889192e-09,-3.549495897463319e-05,-3.205717632623144e-07,0.0,-8.713067384228551e-07,0.0,-0.00011875328491695649,-1.4568063827164618e-06,-0.0002478642296262648
pca,0.002130533352254116,4.128073025639516e-07,7.058087697623696e-07,7.958637637744492e-07,-1.8534932382104638e-07,-2.893069319929388e-06,-1.0191861102981278e-06,-6.340120625424733e-07,-6.418776826800949e-07,-2.1067305359937e-06,-7.603712037841865e-07,-2.598298535854733e-06,-3.131514029185271e-06,-9.763059664475772e-07,-6.348299022312551e-07,-1.8212303947149743e-06,-9.621162853123423e-07,9.932299065666368e-08,1.2387545669123919e-07,-8.58919066913901e-07,1.8725795708907652e-07,5.762918597708629e-07,-2.601379938330194e-06,-8.053678065563072e-07,-2.2031389466798486e-07,2.446469651570663e-07,1.6681959521922798e-07,-1.6990237232687418e-07,1.1928993984195326e-07,-3.311907966666029e-08,1.7258075123478215e-07,6.824733745350266e-07,-1.178059431813117e-06,-7.974552884527388e-07,-5.005482880104799e-06,-1.21276174691533e-08,-8.346007879905045e-07,-1.085021473249191e-06,-9.469099559671274e-07,-2.314272883968283e-06,-1.8478333296618339e-06,-7.491397986614461e-06,3.4453666655975915e-07,-5.301666544925859e-06,-2.048893897588084e-06,-1.0479563904669695e-05,1.2931790101395323e-07,-9.675463088861831e-06,-5.307622327450576e-06,-7.721769064154945e-07,-5.5038711540185595e-06,-3.979332696539155e-06,-5.353191477823722e-06,-8.078009127077958e-07,3.132431986521591e-07,-8.909071259225885e-07,-1.0060905903958527e-06,-2.5133453755324916e-06,-1.8448460291824199e-06,-1.913367052776012e-05,-1.797358825492889e-05,-1.7339878493364213e-07,9.040904743645435e-07,-5.777125594664287e-07,3.081243891518064e-07,-9.263595076612667e-06,-1.254625401405692e-05,7.02734459798295e-07,-2.501014191583422e-06,4.2249529689020484e-06,5.35483767074958e-06,4.995753660560741e-06,-3.3371124256683813e-06,-2.705697375675521e-06,-4.080209642993226e-06,-3.3137977248365663e-06,-3.0379590460594607e-06,-2.2848799198753874e-06,-1.7814674110630394e-06,-8.079856213184128e-07,-1.4473400799392656e-06,-1.0190441010451416e-05,-1.2497193297164066e-05,-1.1836786735571773e-05,-1.0153700296235874e-05,-1.8739012167845614e-05,-1.8172612619917775e-05,-2.1799511764104726e-05,-1.9311250412609274e-05,-3.7347097390616374e-07,7.529464693422261e-07,-6.781853938201419e-07,-5.599581597672162e-08,-2.1750539623956156e-05,-1.7799388436037604e-05,-2.2983162158791427e-05,-3.4005311045356883e-06,-8.924419778423933e-08,-2.1587978898264253e-06,-9.185736342939443e-06,-5.946700890297264e-06,-1.709959994667099e-05,-2.077277820320336e-05,-2.4579725806094957e-05,-2.3016448361568604e-05,-2.3598257285599143e-05,-2.4621982908204816e-05,-2.8503414964824433e-05,-3.76254482211007e-05,-2.8867708130415315e-05,-1.7181602397460192e-05,-3.6293559912910645e-05,-2.9791577380615202e-05,-9.037001689646919e-06,-2.794485665272377e-05,-9.374850742435247e-07,1.6991307287470037e-06,3.0069162979864387e-07,-1.9869525484157373e-05,-2.1487984427820347e-05,-1.1865602854491708e-05,-0.00015257921391493545
lin_comb,0.002130533352254116,3.6131669973164424e-08,2.768665459661364e-07,3.5270286500311977e-07,-1.4709411137959844e-07,-3.6708177381946425e-06,-5.642654981533252e-07,-4.237632654722416e-07,-4.471626520939967e-07,-1.2071420165917933e-06,-4.2663105576261025e-07,-1.6547302059539905e-06,-6.295719761906497e-06,-4.946297842611498e-07,-2.8758368340454315e-07,-1.7336519583983238e-06,-5.263500622975498e-07,-2.991112869927637e-08,9.661444715631077e-09,-4.4925978669034615e-07,-1.535585688104864e-07,1.1557304055739285e-07,-1.4978845656354097e-06,-5.877333055819543e-07,-1.1796312377819257e-07,5.0181334386398827e-08,7.687766709166354e-08,-1.0010114998798644e-07,4.5983628326820566e-08,-1.6920509800894774e-08,-2.6898666275856887e-07,1.9118763579508045e-07,-8.404817884574419e-07,-5.39012774687605e-07,-2.8698728409376028e-06,-3.049209172022453e-08,-6.614917549823784e-07,-6.828678523389036e-07,-6.062867665792323e-07,-1.738866055226618e-06,-1.4777089892504127e-06,-5.644412412470899e-06,-5.587319840428269e-09,-5.535027548316546e-06,-1.7813458803923691e-06,-7.881986385667774e-06,4.582600875501202e-08,-6.0677780881788915e-06,-3.459615436948929e-06,-8.492678545317899e-07,-9.40011996138858e-06,-2.839670282577932e-06,-4.967250002340744e-06,-6.971559070579139e-07,-3.7805752647530366e-08,-8.618869056177851e-07,-8.493006827866309e-07,-8.240729910826805e-06,-1.6637225362253587e-06,-4.4069336329123766e-05,-1.652284748242178e-05,-7.505085157725815e-07,3.4301901613441713e-07,-1.4742090447960102e-06,1.0192896174297654e-07,-5.299316450662108e-06,-9.021802464065709e-06,-9.214929383529566e-08,-1.6881022601552024e-06,1.8110871974921206e-06,2.4584995236807438e-06,2.3989746361989627e-06,-1.917323475727463e-06,-1.5979797640816835e-06,-2.3556412584868376e-06,-1.984527554634857e-06,-1.8454190343936183e-06,-1.4861867580694284e-06,-1.4089730902062296e-06,-7.656085740124411e-07,-1.0889202306739964e-06,-6.461054868571471e-06,-6.919152605025397e-06,-6.554450411299588e-06,-5.4475337091352095e-06,-1.4189068935351658e-05,-9.773594262745854e-06,-1.303010384268836e-05,-6.108772838508129e-05,-6.093201564867873e-07,3.8687278634917146e-07,-4.269754479763947e-07,-7.178859141982105e-08,-1.212444715555416e-05,-1.4384530682527739e-05,-1.933232792505808e-05,-2.812329404140103e-06,-1.5661006545838117e-06,-3.759936791805325e-06,-9.688955580491559e-06,-3.3037980481635626e-06,-2.1497112099651326e-05,-1.1238563207375695e-05,-1.5785013692497056e-05,-1.2419576397534341e-05,-1.2693885900600825e-05,-1.3735281820139645e-05,-2.1898975215700934e-05,-9.857767513271372e-05,-3.5089193992068614e-05,-9.223069428958316e-06,-2.001723036629979e-05,-2.6878991562639426e-05,-5.09887694233624e-06,-3.2078910197457166e-05,-8.776368790425378e-07,5.594026895669468e-07,-3.6682167278921414e-07,-1.0196702328651349e-05,-7.197024475527004e-05,-6.9017022593642066e-06,-0.00020616702704803563
nonlin_comb,0.002134459392103383,1.9455848890591117e-08,-9.486215417294586e-07,3.353764854308389e-06,-2.4794495721805156e-06,-2.856874294663468e-06,-1.2798247062323158e-06,-1.2558502885910623e-06,-3.091306892758259e-07,-2.024515461692887e-06,-1.0139382602305136e-07,-7.254331244041387e-06,-1.0260601836803954e-05,-3.346715627221992e-06,-2.6999915291061244e-06,-4.277089806159937e-06,-1.8484551933492528e-06,-4.599434071571274e-07,-5.2782981286233425e-06,-2.1023992670315045e-06,-1.9246848816597477e-06,-7.6165473776806825e-06,-2.5613380697906996e-06,-1.9631868113416683e-06,-1.0076561461426883e-06,-3.0210937831500483e-06,-5.992390168428607e-07,-1.6419052048815213e-06,-1.8939726914866813e-06,-1.9087239758637782e-06,-2.9593769021430332e-06,-1.0783753949773913e-06,-3.082773805993423e-06,-3.522820668856798e-06,-5.609299937552758e-06,-3.007682974211524e-06,-5.613408177779293e-06,-2.9325711777883577e-06,-2.9930699794062656e-06,-5.218509229969097e-06,-5.7815820201395295e-06,-1.4084465554906876e-05,-3.741697728725272e-06,-1.4490081923214769e-05,-9.660827652099137e-06,-2.6507097108998782e-05,-1.7521846923894792e-06,-2.5955225128341094e-05,-1.087694384115496e-05,-9.390512228502695e-06,-1.3574461322522188e-05,-5.3373739657383335e-06,-1.4396554152029628e-05,-4.515601289179836e-06,-2.5200040414429925e-06,-4.789640347623197e-06,-1.030047422302222e-05,-5.161874354893664e-06,-4.6926392581474495e-06,-5.397689560681291e-05,-3.680175103241331e-05,-1.5185797632501863e-06,-2.8411025068210246e-06,-3.946614905465752e-06,-1.6169854106033407e-06,-4.866812719171242e-06,-2.9342830592427673e-05,-3.031486818861748e-06,-5.516340172578468e-06,-2.934193306919174e-07,-1.8461936412211725e-06,-5.009201925639909e-06,-3.772142344263843e-06,-2.651377362194036e-06,-4.636077601101038e-06,-1.726805425708146e-06,-1.6826620045910887e-07,-9.65858006694326e-07,-4.796099869426754e-06,-9.506289601209636e-07,8.993918570216229e-07,-2.1650645767007357e-05,8.650216794828526e-06,8.100175283104043e-07,-3.203825581245852e-07,-4.088765443954964e-05,-3.502661066310884e-05,-8.009054054231726e-05,-7.693567929040159e-05,-4.644330494036182e-06,-5.5727424553240625e-06,-3.1333627473698065e-06,-1.2650932383503153e-06,-3.1308999910119e-05,-1.734906454152886e-05,-4.0583578639592785e-05,-7.829629319402782e-06,-9.032104755680778e-06,-1.1190219381672799e-05,-1.689282183763799e-05,2.70519714377069e-06,-3.7731691164262964e-05,-5.739741297824497e-06,-2.3256551037674897e-05,-1.2537198548785752e-05,-6.5009024586696246e-06,-5.746152104235103e-06,-2.350962083293138e-05,-0.00010292723057206116,-6.62587217630345e-05,-6.712610075942345e-06,-3.460556452881479e-05,-4.745346298137118e-05,-5.612489579838154e-06,-5.618049390648119e-05,-4.224982937365129e-06,-4.395673805047843e-06,-2.012283332696938e-06,-3.6463714116768845e-05,-6.977982249778541e-05,-6.006593712542662e-06,-0.00019397567973277247
all_comb,0.002131985790985108,-5.065904325568211e-08,-7.465367454741033e-07,2.1839110841359686e-06,-2.0592534340851905e-06,-3.2925854848282922e-06,-1.1226581250113133e-06,-1.0370465226118688e-06,-3.446741172661292e-07,-1.9034520351574948e-06,-3.4495951044140735e-07,-5.5491227813728574e-06,-9.316285324020907e-06,-2.481674251079743e-06,-2.0128142326168394e-06,-3.719510599905482e-06,-1.5187972245719442e-06,-3.936545788019326e-07,-3.779174846781473e-06,-1.6112519030744951e-06,-1.5465581315236203e-06,-5.326914887672649e-06,-2.3713262782321267e-06,-1.6072385207382625e-06,-7.627757920619107e-07,-2.129434902303023e-06,-4.3870788317165667e-07,-1.1543827927267398e-06,-1.3969314693862032e-06,-1.2488960656015885e-06,-2.1955243752290335e-06,-6.559155564756126e-07,-2.4537619462988997e-06,-2.6783258980345547e-06,-5.093317481982004e-06,-2.1336603274921107e-06,-4.156690132676837e-06,-2.2008328386169513e-06,-2.3627296145831148e-06,-4.204484295774386e-06,-4.538287478193068e-06,-1.1844453701009007e-05,-2.6233524889828684e-06,-1.2494558125627907e-05,-7.3084235399337515e-06,-2.045965655797417e-05,-1.190629383069774e-06,-1.9257879968424122e-05,-8.963530333921313e-06,-7.003281887752078e-06,-1.2778549806729148e-05,-5.252134615015318e-06,-1.1757482782298391e-05,-3.4123657451684836e-06,-1.8781896106288545e-06,-3.7078756887108428e-06,-7.404337251718475e-06,-6.626192852166287e-06,-3.766407881289206e-06,-5.2006957016834246e-05,-3.0431969103202285e-05,-1.3143790722689043e-06,-2.0970974672823343e-06,-3.331553963852133e-06,-1.1029874668834726e-06,-5.334571877693521e-06,-2.283359461316167e-05,-2.368436501151664e-06,-4.407409160004409e-06,1.7334404332613917e-07,-6.8334193033888e-07,-2.599314711431174e-06,-3.2867430410288537e-06,-2.3070754934667476e-06,-3.9048077723280644e-06,-1.8888179232778759e-06,-8.67874856057383e-07,-1.3936205502123246e-06,-3.853789809261897e-06,-1.144402120754227e-06,-8.199137835604821e-08,-1.6837706343108608e-05,2.750779547922669e-06,-2.1769875450981217e-06,-2.379764553667791e-06,-3.227838819583129e-05,-2.6749339026487935e-05,-5.7680187355551676e-05,-7.279528180617205e-05,-3.5661220334393037e-06,-3.829276796556588e-06,-2.34321437882758e-06,-9.66920467450442e-07,-2.5019430095305676e-05,-1.6770852149343954e-05,-3.395607693080296e-05,-6.321725285215986e-06,-6.714869385588633e-06,-8.914693916087685e-06,-1.460285290336165e-05,3.0899431362476043e-07,-3.331825944007448e-05,-8.105616536134357e-06,-2.1155074354853576e-05,-1.2880975851941858e-05,-9.096150124769689e-06,-9.168657688084169e-06,-2.3498142920406695e-05,-0.00010256175880340182,-5.5853864254590916e-05,-7.973687805487305e-06,-3.0086992263742875e-05,-4.08784360587095e-05,-5.651381725166743e-06,-4.857942564358088e-05,-3.274268833533185e-06,-2.9725339633284544e-06,-1.6683625555437081e-06,-2.7927332806465673e-05,-7.200633428799033e-05,-6.907167138472177e-06,-0.00020239368880528452
