horizon,model,predictor,structural_zero,source
1,rf_cv,fred_baaffm,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_exszusx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_exjpusx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_exusukx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_excausx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_wpsfd49207,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_wpsfd49502,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_wpsid61,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_wpsid62,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_oilpricex,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ppicmm,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cpiappsl,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cpitrnsl,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cpimedsl,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cusr0000sac,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cusr0000sad,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cusr0000sas,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cpiulfsl,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cusr0000sa0l2,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cusr0000sa0l5,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_pcepi,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ddurrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dndgrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dserrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ces0600000008,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ces2000000008,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ces3000000008,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dtcolnvhfnm,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dtcthfnm,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_invest,False,all_retained_no_direct_invariance_evidence
1,rf_cv,soc_ics,False,all_retained_no_direct_invariance_evidence
1,rf_cv,soc_ice,False,all_retained_no_direct_invariance_evidence
1,rf_cv,soc_icc,False,all_retained_no_direct_invariance_evidence
1,rf_cv,ar,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_rpi,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_w875rx1,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_dpcera3m086sbea,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cmrmtsplx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_retailx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_indpro,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipfpnss,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipfinal,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipcongd,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipdcongd,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipncongd,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipbuseq,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipmat,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ipdmat,False,all_retained_no_direct_invariance_evidence
